"ID"	"study_day"	"subj_day"	"CollectionDate"	"Subject"	"Subj_Certainty"	"probiotic"	"oatgel"	"steroid"	"cauliflower"	"tomatoes"	"broccoli"	"med_type"	"med_name"	"med_dose"	"dose_units"	"enclosure"	"access"	"estrus"	"pregnant"	"bristol_mean"	"bristol_min"	"bristol_max"	"health_note"	"repro_note"	"SampleNotes"
"hdz-192"	74	"C74"	2024-01-07	"culi"	"yes"	"no"	"no"	0.2	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"old"	"no"	NA	NA	3	3	3	NA	NA	""
"hdz-264"	75	"C75"	2024-01-08	"culi"	"yes"	"no"	"no"	0.2	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"old"	"no"	NA	NA	3	3	3	NA	NA	""
"hdz-258"	77	"C77"	2024-01-10	"culi"	"yes"	"no"	"no"	0.2	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"old"	"no"	NA	NA	3	3	3	NA	NA	""
"hdz-274"	82	"C82"	2024-01-15	"culi"	"yes"	"no"	"no"	0.2	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"old"	"no"	NA	NA	3	3	3	NA	NA	""
"hdz-249"	86	"C86"	2024-01-19	"culi"	"yes"	"no"	"no"	0.2	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"old"	"no"	NA	NA	1	1	1	NA	NA	""
"hdz-240"	87	"C87"	2024-01-20	"culi"	"yes"	"no"	"no"	0.2	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"old"	"no"	NA	NA	2	2	2	NA	NA	""
"hdz-272"	88	"C88"	2024-01-21	"culi"	"yes"	"no"	"no"	0.2	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"old"	"no"	NA	NA	6	6	6	NA	NA	""
"hdz-250"	88	"C88"	2024-01-21	"culi"	"yes"	"no"	"no"	0.2	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"old"	"no"	NA	NA	6	6	6	NA	NA	""
"hdz-270"	89	"C89"	2024-01-22	"culi"	"yes"	"no"	"no"	0.2	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"old"	"no"	NA	NA	6	6	6	NA	NA	""
"hdz-273"	90	"C90"	2024-01-23	"culi"	"yes"	"no"	"no"	0.2	"no"	"yes"	"no"	"none"	"none"	0	"mg/day"	"old"	"no"	NA	NA	2	2	2	NA	NA	""
"hdz-262"	91	"C91"	2024-01-24	"culi"	"yes"	"no"	"no"	0.2	"no"	"yes"	"no"	"none"	"none"	0	"mg/day"	"old"	"no"	NA	NA	2	2	2	NA	NA	""
"hdz-271"	92	"C92"	2024-01-25	"culi"	"yes"	"yes"	"yes"	0.2	"no"	"yes"	"no"	"none"	"none"	0	"mg/day"	"old"	"no"	NA	NA	6	5	6	NA	NA	""
"hdz-266"	95	"C95"	2024-01-28	"culi"	"yes"	"yes"	"yes"	0.2	"no"	"yes"	"no"	"none"	"none"	0	"mg/day"	"old"	"no"	NA	NA	2	2	2	NA	NA	""
"hdz-394"	99	"C99"	2024-02-01	"culi"	"yes"	"yes"	"yes"	0.2	"no"	"yes"	"no"	"none"	"none"	0	"mg/day"	"old"	"no"	NA	NA	3	3	3	NA	NA	""
"hdz-196"	103	"C103"	2024-02-05	"culi"	"yes"	"yes"	"yes"	0.2	"no"	"yes"	"no"	"none"	"none"	0	"mg/day"	"old"	"no"	NA	NA	2	2	2	NA	NA	""
"hdz-235"	105	"C105"	2024-02-07	"culi"	"yes"	"yes"	"yes"	0.2	"no"	"yes"	"no"	"none"	"none"	0	"mg/day"	"old"	"no"	NA	NA	3	3	3	NA	NA	""
"hdz-198"	106	"C106"	2024-02-08	"culi"	"yes"	"yes"	"yes"	0.2	"no"	"yes"	"no"	"none"	"none"	0	"mg/day"	"old"	"no"	NA	NA	4	3	6	NA	NA	""
"hdz-326"	107	"C107"	2024-02-09	"culi"	"yes"	"yes"	"yes"	0.2	"no"	"yes"	"no"	"none"	"none"	0	"mg/day"	"old"	"no"	NA	NA	2	2	2	NA	NA	""
"hdz-330"	108	"C108"	2024-02-10	"culi"	"yes"	"yes"	"yes"	0.2	"no"	"yes"	"no"	"none"	"none"	0	"mg/day"	"old"	"no"	NA	NA	6	6	6	"left biscuit/gum behind"	NA	""
"hdz-317"	111	"C111"	2024-02-13	"culi"	"yes"	"yes"	"yes"	0.2	"no"	"yes"	"no"	"none"	"none"	0	"mg/day"	"old"	"no"	NA	NA	2	2	2	NA	NA	""
"hdz-308"	113	"C113"	2024-02-15	"culi"	"yes"	"yes"	"yes"	0.2	"no"	"yes"	"no"	"none"	"none"	0	"mg/day"	"old"	"no"	NA	NA	2	2	2	NA	NA	""
"hdz-314"	114	"C114"	2024-02-16	"culi"	"yes"	"yes"	"yes"	0.2	"no"	"yes"	"no"	"none"	"none"	0	"mg/day"	"old"	"no"	NA	NA	3	3	3	NA	NA	""
"hdz-324"	116	"C116"	2024-02-18	"culi"	"yes"	"yes"	"yes"	0.2	"no"	"yes"	"no"	"none"	"none"	0	"mg/day"	"old"	"no"	NA	NA	2	2	2	NA	NA	""
"hdz-305"	117	"C117"	2024-02-19	"culi"	"yes"	"yes"	"yes"	0.2	"no"	"yes"	"no"	"none"	"none"	0	"mg/day"	"old"	"no"	NA	NA	2	2	2	NA	NA	""
"hdz-310"	118	"C118"	2024-02-20	"culi"	"yes"	"no"	"yes"	0.2	"no"	"no"	"no"	"none"	"none"	0	"mg/day"	"old"	"no"	NA	NA	2	2	2	NA	NA	""
"hdz-320"	119	"C119"	2024-02-21	"culi"	"yes"	"no"	"yes"	0.2	"no"	"no"	"no"	"none"	"none"	0	"mg/day"	"old"	"no"	NA	NA	3	3	3	NA	NA	""
"hdz-301"	120	"C120"	2024-02-22	"culi"	"yes"	"no"	"yes"	0.2	"no"	"no"	"no"	"none"	"none"	0	"mg/day"	"old"	"no"	NA	NA	3	3	3	NA	NA	""
"hdz-241"	121	"C121"	2024-02-23	"culi"	"yes"	"yes"	"yes"	0.1	"no"	"no"	"no"	"none"	"none"	0	"mg/day"	"old"	"no"	NA	NA	2	2	2	NA	NA	""
"hdz-327"	123	"C123"	2024-02-25	"culi"	"yes"	"yes"	"yes"	0.1	"no"	"no"	"no"	"none"	"none"	0	"mg/day"	"old"	"no"	NA	NA	2	2	2	NA	NA	""
"hdz-236"	125	"C125"	2024-02-27	"culi"	"yes"	"yes"	"yes"	0.1	"no"	"no"	"no"	"none"	"none"	0	"mg/day"	"old"	"no"	NA	NA	2	2	2	NA	NA	""
"hdz-230"	128	"C128"	2024-03-01	"culi"	"yes"	"yes"	"yes"	0.1	"no"	"no"	"no"	"none"	"none"	0	"mg/day"	"new"	"no"	NA	NA	2	2	2	NA	NA	""
"hdz-222"	129	"C129"	2024-03-02	"culi"	"yes"	"yes"	"yes"	0.1	"no"	"no"	"no"	"none"	"none"	0	"mg/day"	"new"	"no"	NA	NA	2	2	2	NA	NA	""
"hdz-339"	135	"C135"	2024-03-08	"culi"	"yes"	"yes"	"yes"	0.1	"no"	"no"	"no"	"none"	"none"	0	"mg/day"	"new"	"no"	NA	NA	4	3	6	NA	NA	""
"hdz-321"	137	"C137"	2024-03-10	"culi"	"yes"	"yes"	"yes"	0.1	"no"	"no"	"no"	"none"	"none"	0	"mg/day"	"new"	"no"	NA	NA	4	3	6	NA	NA	""
"hdz-221"	141	"C141"	2024-03-14	"culi"	"yes"	"yes"	"yes"	0.1	"no"	"no"	"no"	"none"	"none"	0	"mg/day"	"new"	"no"	NA	NA	3	3	3	NA	NA	""
"hdz-408"	142	"C142"	2024-03-15	"culi"	"yes"	"yes"	"yes"	0.1	"no"	"no"	"no"	"none"	"none"	0	"mg/day"	"new"	"no"	NA	NA	4	3	6	NA	NA	""
"hdz-219"	143	"C143"	2024-03-16	"culi"	"yes"	"yes"	"yes"	0.1	"no"	"no"	"no"	"none"	"none"	0	"mg/day"	"new"	"no"	NA	NA	6	5	6	NA	NA	""
"hdz-220"	144	"C144"	2024-03-17	"culi"	"yes"	"yes"	"yes"	0.1	"no"	"no"	"no"	"none"	"none"	0	"mg/day"	"new"	"no"	NA	NA	3	3	3	NA	NA	""
"hdz-350"	151	"C151"	2024-03-24	"culi"	"yes"	"yes"	"yes"	0.1	"no"	"no"	"no"	"none"	"none"	0	"mg/day"	"new"	"no"	NA	NA	4	3	6	NA	NA	""
"hdz-224"	152	"C152"	2024-03-25	"culi"	"yes"	"yes"	"yes"	0.1	"no"	"no"	"no"	"none"	"none"	0	"mg/day"	"new"	"no"	NA	NA	5	5	5	NA	NA	""
"hdz-215"	154	"C154"	2024-03-27	"culi"	"yes"	"yes"	"yes"	0.1	"no"	"no"	"no"	"none"	"none"	0	"mg/day"	"new"	"no"	NA	NA	4	3	6	NA	NA	""
"hdz-227"	156	"C156"	2024-03-29	"culi"	"yes"	"yes"	"yes"	0.1	"no"	"no"	"no"	"none"	"none"	0	"mg/day"	"new"	"no"	NA	NA	3	3	3	NA	NA	""
"hdz-226"	157	"C157"	2024-03-30	"culi"	"yes"	"yes"	"yes"	0.1	"no"	"no"	"no"	"none"	"none"	0	"mg/day"	"new"	"no"	NA	NA	3	3	3	NA	NA	""
"hdz-388"	159	"C159"	2024-04-01	"culi"	"yes"	"yes"	"yes"	0.1	"no"	"no"	"no"	"none"	"none"	0	"mg/day"	"new"	"no"	NA	NA	4	3	6	NA	NA	"Warble vulva swollen"
"hdz-352"	174	"C174"	2024-04-16	"culi"	"yes"	"yes"	"yes"	0.1	"no"	"no"	"no"	"none"	"none"	0	"mg/day"	"new"	"no"	NA	NA	4	3	4	NA	NA	""
"hdz-354"	177	"C177"	2024-04-19	"culi"	"yes"	"yes"	"yes"	0.1	"no"	"no"	"no"	"none"	"none"	0	"mg/day"	"new"	"no"	NA	NA	4	3	6	NA	NA	""
"hdz-361"	178	"C178"	2024-04-20	"culi"	"yes"	"yes"	"yes"	0.1	"no"	"no"	"no"	"none"	"none"	0	"mg/day"	"new"	"no"	NA	NA	4	3	6	NA	NA	""
"hdz-442"	200	"C200"	2024-05-12	"culi"	"yes"	"yes"	"yes"	0.1	"no"	"no"	"no"	"none"	"none"	0	"mg/day"	"new"	"no"	NA	NA	6	6	6	NA	NA	""
"hdz-445"	201	"C201"	2024-05-13	"culi"	"yes"	"yes"	"yes"	0.1	"no"	"no"	"no"	"none"	"none"	0	"mg/day"	"new"	"no"	NA	NA	4	3	5	NA	NA	""
"hdz-311"	NA	"CNA"	2024-12-14	"culi"	"yes"	"unknown"	"unknown"	NA	"unknown"	"unknown"	"unknown"	NA	NA	NA	NA	NA	"unknown"	NA	NA	NA	NA	NA	NA	NA	""
