"ID"	"korra21"	"korra29"	"korra44"	"korra48"	"korra58"
"fpt51"	19.71	40.99	0.8	14.64	39.81
"fpt52"	0.03	0	0.03	0	0.06
"fpt53"	2.07	0.76	4.32	4.19	0.4
"fpt54"	0.01	0	0	0.03	0.06
"fpt55"	0	0	0	0	0.03
"fpt56"	13.74	22.79	7.26	17.65	14.24
"fpt57"	0.37	0.03	0.3	0.26	0.29
"fpt58"	0.01	0	0	0	0
"fpt59"	0	0	0.03	0	0
"fpt60"	1.3	0.37	1.86	1.51	0.24
"fpt61"	0.01	0	0	0	0
"fpt62"	0	0	0	0	0.03
"fpt63"	0.01	0	0	0.03	0.06
"fpt64"	18.33	29.13	8.75	20.66	11.13
"fpt65"	0.01	0	0.03	0	0.03
"fpt66"	0	0	0	0	0.03
"fpt67"	0.01	0	0.03	0	0.03
"fpt68"	0	0	0.04	0	0.03
"fpt69"	0.01	0	0	0	0
"fpt70"	0	0	0.03	0	0.03
"fpt71"	0	0	0	0	0.03
"fpt72"	1.3	0.37	1.84	1.51	0.23
"fpt73"	0	0	0.04	0.01	0.1
"fpt74"	0.01	0	0	0.03	0.06
"fpt75"	0.01	0	0	0.03	0.06
"fpt76"	0.23	0.04	0.06	0.19	0.03
"fpt77"	22.69	40.73	5.08	21.73	25.23
"fpt78"	0	0	0	0	0.03
"fpt79"	0.01	0	0	0.03	0.06
"fpt80"	1.3	0.37	1.84	1.51	0.23
"fpt81"	0	0	0	0	0.03
"fpt82"	9.2	1.7	33.22	13.52	26.53
"fpt83"	0.01	0	0	0.03	0.06
"fpt84"	0	0	0	0	0.03
"fpt85"	0	0	0	0	0.03
"fpt86"	25.61	30.1	37.81	30.03	37.31
"fpt87"	0.01	0	0.01	0	0.01
"fpt88"	0	0	0	0	0.03
"fpt89"	25.63	30.1	37.81	30.06	37.36
"fpt90"	2.04	0.74	4.23	4.16	0.31
"fpt91"	5.54	6.87	4	7.13	1.37
"fpt92"	0.11	0.03	0.2	0.14	0.1
"fpt93"	0.01	0	0	0.03	0.09
"fpt94"	2.06	0.74	4.32	4.2	0.46
"fpt95"	0.1	0	0.14	0.03	0.07
"fpt96"	0	0	0	0	0.03
"fpt97"	0	0	0.04	0.01	0.1
"fpt98"	0.01	0	0.07	0.06	0.17
"fpt99"	0.04	0.01	0.07	0.04	0.09
"fpt100"	5	10.8	0.09	1.43	4.01
"fpt101"	0.01	0	0	0.03	0.06
"fpt102"	16.49	28.55	4.62	16.73	11.7
"fpt103"	0.2	0.16	0.13	0.24	0.87
"fpt104"	0.01	0	0	0	0
"fpt105"	0.01	0	0.03	0	0.06
"fpt106"	0.01	0	0	0.03	0.06
"fpt107"	0	0	0	0	0.03
"fpt108"	0	0	0	0	0.03
"fpt109"	0.11	0.03	0.21	0.11	0.06
"fpt110"	0.01	0	0.03	0	0.03
"fpt111"	16.69	28.58	4.72	16.9	11.8
"fpt112"	0	0	0	0	0.01
"fpt113"	0.01	0	0	0.03	0.09
"fpt114"	0.03	0	0.01	0.03	0.06
"fpt115"	0	0.01	0	0	0.03
"fpt116"	25.6	30.1	37.81	30	37.32
"fpt117"	0.01	0	0	0.03	0.06
"fpt118"	0	0	0	0	0.03
"fpt119"	0.1	0	0.13	0.03	0.01
"fpt120"	6.84	7.24	5.89	8.66	1.67
"fpt121"	0	0	0	0	0.01
"fpt122"	26.47	35.62	36.6	30.28	48.65
"fpt123"	25.6	30.1	37.76	29.96	37.25
"fpt124"	0.01	0	0	0.03	0.06
"fpt125"	0.01	0	0.01	0.01	0
"fpt126"	0.01	0	0.01	0.01	0
"fpt127"	0.01	0	0	0.03	0.07
"fpt128"	0.01	0	0	0.03	0.06
"fpt129"	0.01	0	0	0.03	0.06
"fpt130"	18.64	29.29	9.04	22.19	15.59
"fpt131"	0.01	0	0	0.03	0.09
"fpt132"	0	0	0	0	0.03
"fpt133"	0	0	0.09	0.01	0
"fpt134"	2.04	0.74	4.22	4.16	0.29
"fpt135"	0.01	0	0.03	0	0.03
"fpt136"	0	0	0	0	0.03
"fpt137"	0	0	0	0	0.03
"fpt138"	0.01	0	0.07	0.01	0.09
