"ID"	"SampleID"	"study_day"	"subject"	"Time"	"Rep"	"diet_name"	"total_mg"	"total_kcal"	"total_mg_dry"	"probiotic"	"fiber"	"steroid"	"antibiotic"	"antidiarrheal"	"bristol_mean"	"holding"	"pair_access"	"warb_status"	"keeper_note"	"Subj_Certainty"	"Sex"	"subject_age"	"CollectionDate"	"protein_fed"	"fat_fed"	"CHO_fed"	"mineral_fed"
"culi_7"	"culi_7"	7	"culi"	7	1	"baseline"	52000	90	29000	0	0	0	0	0	3	"old"	"n"	"anestrus"	NA	"yes"	"M"	10	2023-11-01	5100	2000	2000	2000
"warble_7"	"warble_7"	7	"warble"	7	1	"baseline"	52000	90	29000	0	0	0	0	0	1	"old"	"n"	"anestrus"	NA	"yes"	"F"	6	2023-11-01	5100	2000	2000	2000
"culi_8"	"culi_8"	8	"culi"	8	2	"baseline"	52000	90	29000	5	0	0	0	0	4.5	"old"	"n"	"anestrus"	NA	"yes"	"M"	10	2023-11-02	5100	2000	2000	2000
"warble_9"	"warble_9"	9	"warble"	9	1	"baseline"	52000	90	29000	0	0	0	0	0	1	"old"	"n"	"anestrus"	NA	"yes"	"F"	6	2023-11-03	5100	2000	2000	2000
"culi_10"	"culi_10"	10	"culi"	10	1	"baseline"	52000	90	29000	5	0	0	0	0	3	"old"	"n"	"anestrus"	NA	"yes"	"M"	10	2023-11-04	5100	2000	2000	2000
"warble_10"	"warble_10"	10	"warble"	10	1	"baseline"	52000	90	29000	0	0	0	0	0	1	"old"	"n"	"anestrus"	NA	"yes"	"F"	6	2023-11-04	5100	2000	2000	2000
"culi_11"	"culi_11"	11	"culi"	11	2	"baseline"	52000	90	29000	5	0	0	0	0	3	"old"	"n"	"anestrus"	NA	"yes"	"M"	10	2023-11-05	5100	2000	2000	2000
"culi_12"	"culi_12"	12	"culi"	12	1	"baseline"	52000	90	29000	5	0	0	0	0	4	"old"	"n"	"anestrus"	NA	"yes"	"M"	10	2023-11-06	5100	2000	2000	2000
"warble_12"	"warble_12"	12	"warble"	12	2	"baseline"	52000	90	29000	0	0	0	0	0	1	"old"	"n"	"anestrus"	NA	"yes"	"F"	6	2023-11-06	5100	2000	2000	2000
"warble_14"	"warble_14"	14	"warble"	14	1	"baseline"	52000	90	29000	0	0	0	0	0	1	"old"	"n"	"anestrus"	NA	"yes"	"F"	6	2023-11-08	5100	2000	2000	2000
"culi_15"	"culi_15"	15	"culi"	15	1	"baseline"	52000	90	29000	10	0	0	0	0	3	"old"	"n"	"anestrus"	NA	"yes"	"M"	10	2023-11-09	5100	2000	2000	2000
"warble_15"	"warble_15"	15	"warble"	15	1	"baseline"	52000	90	29000	0	0	0	0	0	1	"old"	"n"	"anestrus"	NA	"yes"	"F"	6	2023-11-09	5100	2000	2000	2000
"warble_20"	"warble_20"	20	"warble"	20	1	"baseline"	52000	90	29000	0	0	0	0	0	1	"old"	"n"	"anestrus"	NA	"yes"	"F"	6	2023-11-14	5100	2000	2000	2000
"culi_21"	"culi_21"	21	"culi"	21	1	"baseline"	52000	90	29000	10	0	0	0	0	3	"old"	"n"	"anestrus"	NA	"yes"	"M"	10	2023-11-15	5100	2000	2000	2000
"culi_25"	"culi_25"	25	"culi"	25	1	"baseline"	52000	90	29000	10	0	0	0	0	3	"old"	"n"	"anestrus"	NA	"yes"	"M"	10	2023-11-19	5100	2000	2000	2000
"culi_27"	"culi_27"	27	"culi"	27	1	"baseline"	52000	90	29000	10	0	0	0	0	3	"old"	"n"	"anestrus"	NA	"yes"	"M"	10	2023-11-21	5100	2000	2000	2000
"culi_28"	"culi_28"	28	"culi"	28	1	"baseline"	52000	90	29000	10	0	0	0	0	6	"old"	"n"	"anestrus"	NA	"yes"	"M"	10	2023-11-22	5100	2000	2000	2000
"culi_29"	"culi_29"	29	"culi"	29	2	"oatgel"	60342.85714	90	29904.58333	10	0	0	0	0	3	"old"	"n"	"anestrus"	NA	"yes"	"M"	10	2023-11-23	4826.53571	1618.96429	2005.1413	1816.25337
"culi_30"	"culi_30"	30	"culi"	30	1	"oatgel"	60342.85714	90	29904.58333	10	0	0	0	0	3	"old"	"n"	"anestrus"	NA	"yes"	"M"	10	2023-11-24	4826.53571	1618.96429	2005.1413	1816.25337
"culi_32"	"culi_32"	32	"culi"	32	1	"oatgel"	60342.85714	90	29904.58333	10	0	0	0	0	3	"old"	"n"	"anestrus"	NA	"yes"	"M"	10	2023-11-26	4826.53571	1618.96429	2005.1413	1816.25337
"warble_33"	"warble_33"	33	"warble"	33	1	"baseline"	52000	90	29000	0	0	0	0	0	1	"old"	"n"	"anestrus"	NA	"no"	"F"	6	2023-11-27	5100	2000	2000	2000
"culi_36"	"culi_36"	36	"culi"	36	1	"oatgel"	60342.85714	90	29904.58333	10	0	0	0	0	3	"old"	"n"	"anestrus"	NA	"yes"	"M"	10	2023-11-30	4826.53571	1618.96429	2005.1413	1816.25337
"culi_38"	"culi_38"	38	"culi"	38	1	"oatgel"	60342.85714	90	29904.58333	10	0	0	0	0	3	"old"	"n"	"anestrus"	NA	"yes"	"M"	10	2023-12-02	4826.53571	1618.96429	2005.1413	1816.25337
"culi_39"	"culi_39"	39	"culi"	39	1	"oatgel"	60342.85714	90	29904.58333	10	0	0	0	0	4.5	"old"	"n"	"anestrus"	NA	"yes"	"M"	10	2023-12-03	4826.53571	1618.96429	2005.1413	1816.25337
"culi_42"	"culi_42"	42	"culi"	42	1	"oatgel"	60342.85714	90	29904.58333	10	0	0	0	0	3	"old"	"n"	"anestrus"	NA	"yes"	"M"	10	2023-12-06	4826.53571	1618.96429	2005.1413	1816.25337
"warble_42"	"warble_42"	42	"warble"	42	1	"baseline"	52000	90	29000	0	0	0	0	0	1	"old"	"n"	"anestrus"	NA	"yes"	"F"	6	2023-12-06	5100	2000	2000	2000
"culi_43"	"culi_43"	43	"culi"	43	1	"oatgel"	60342.85714	90	29904.58333	10	0	0	0	0	3	"old"	"n"	"anestrus"	NA	"yes"	"M"	10	2023-12-07	4826.53571	1618.96429	2005.1413	1816.25337
"warble_43"	"warble_43"	43	"warble"	43	1	"baseline"	52000	90	29000	0	0	0	0	0	1	"old"	"n"	"anestrus"	NA	"yes"	"F"	6	2023-12-07	5100	2000	2000	2000
"warble_45"	"warble_45"	45	"warble"	45	1	"baseline"	52000	90	29000	0	0	0	0	0	1	"old"	"n"	"anestrus"	NA	"yes"	"F"	6	2023-12-09	5100	2000	2000	2000
"culi_46"	"culi_46"	46	"culi"	46	1	"oatgel"	60342.85714	90	29904.58333	10	0	0	0	0	3	"old"	"n"	"anestrus"	NA	"yes"	"M"	10	2023-12-10	4826.53571	1618.96429	2005.1413	1816.25337
"culi_48"	"culi_48"	48	"culi"	48	1	"oatgel"	60342.85714	90	29904.58333	10	0	0	0	0	3	"old"	"n"	"anestrus"	NA	"yes"	"M"	10	2023-12-12	4826.53571	1618.96429	2005.1413	1816.25337
"warble_49"	"warble_49"	49	"warble"	49	1	"baseline"	52000	90	29000	0	0	0	0	0	1	"old"	"n"	"anestrus"	NA	"yes"	"F"	6	2023-12-13	5100	2000	2000	2000
"culi_50"	"culi_50"	50	"culi"	50	1	"baseline"	52000	90	29000	0	0	0.1	0	0	3	"old"	"n"	"anestrus"	NA	"yes"	"M"	10	2023-12-14	5100	2000	2000	2000
"warble_50"	"warble_50"	50	"warble"	50	2	"baseline"	52000	90	29000	0	0	0	0	0	1	"old"	"n"	"anestrus"	NA	"yes"	"F"	6	2023-12-14	5100	2000	2000	2000
"culi_51"	"culi_51"	51	"culi"	51	2	"baseline"	52000	90	29000	0	0	0.1	0	0	5.5	"old"	"n"	"anestrus"	NA	"yes"	"M"	10	2023-12-15	5100	2000	2000	2000
"culi_52"	"culi_52"	52	"culi"	52	1	"baseline"	52000	90	29000	0	0	0.1	0	0	3	"old"	"n"	"anestrus"	NA	"yes"	"M"	10	2023-12-16	5100	2000	2000	2000
"warble_52"	"warble_52"	52	"warble"	52	1	"baseline"	52000	90	29000	0	0	0	0	0	1	"old"	"n"	"anestrus"	NA	"yes"	"F"	6	2023-12-16	5100	2000	2000	2000
"warble_53"	"warble_53"	53	"warble"	53	1	"baseline"	52000	90	29000	0	0	0	0	0	1	"old"	"n"	"anestrus"	NA	"yes"	"F"	6	2023-12-17	5100	2000	2000	2000
"culi_54"	"culi_54"	54	"culi"	54	1	"baseline"	52000	90	29000	0	0	0.1	0	0	3	"old"	"n"	"anestrus"	NA	"yes"	"M"	10	2023-12-18	5100	2000	2000	2000
"warble_54"	"warble_54"	54	"warble"	54	1	"baseline"	52000	90	29000	0	0	0	0	0	1	"old"	"n"	"anestrus"	NA	"yes"	"F"	6	2023-12-18	5100	2000	2000	2000
"culi_55"	"culi_55"	55	"culi"	55	1	"baseline"	52000	90	29000	0	0	0.1	0	0	3	"old"	"n"	"anestrus"	NA	"yes"	"M"	10	2023-12-19	5100	2000	2000	2000
"warble_57"	"warble_57"	57	"warble"	57	1	"baseline"	52000	90	29000	0	0	0	0	0	1	"old"	"n"	"anestrus"	NA	"yes"	"F"	6	2023-12-21	5100	2000	2000	2000
"culi_58"	"culi_58"	58	"culi"	58	1	"baseline"	52000	90	29000	0	0	0.1	0	0	3	"old"	"n"	"anestrus"	NA	"yes"	"M"	10	2023-12-22	5100	2000	2000	2000
"warble_58"	"warble_58"	58	"warble"	58	1	"baseline"	52000	90	29000	0	0	0	0	0	1	"old"	"n"	"anestrus"	NA	"yes"	"F"	6	2023-12-22	5100	2000	2000	2000
"culi_59"	"culi_59"	59	"culi"	59	1	"baseline"	52000	90	29000	0	0	0.1	0	0	3	"old"	"n"	"anestrus"	NA	"no"	"M"	10	2023-12-23	5100	2000	2000	2000
"warble_60"	"warble_60"	60	"warble"	60	1	"baseline"	52000	90	29000	0	0	0	0	0	1	"old"	"n"	"anestrus"	NA	"yes"	"F"	6	2023-12-24	5100	2000	2000	2000
"culi_61"	"culi_61"	61	"culi"	61	1	"baseline"	52000	90	29000	0	0	0.1	0	0	3	"old"	"n"	"anestrus"	NA	"yes"	"M"	10	2023-12-25	5100	2000	2000	2000
"culi_62"	"culi_62"	62	"culi"	62	1	"baseline"	52000	90	29000	0	0	0.1	0	0	3	"old"	"n"	"anestrus"	NA	"yes"	"M"	10	2023-12-26	5100	2000	2000	2000
"warble_63"	"warble_63"	63	"warble"	63	1	"baseline"	52000	90	29000	0	0	0	0	0	1	"old"	"n"	"anestrus"	NA	"yes"	"F"	6	2023-12-27	5100	2000	2000	2000
"culi_64"	"culi_64"	64	"culi"	64	1	"baseline"	52000	90	29000	0	0	0.1	0	0	3	"old"	"n"	"anestrus"	NA	"yes"	"M"	10	2023-12-28	5100	2000	2000	2000
"culi_65"	"culi_65"	65	"culi"	65	1	"baseline"	52000	90	29000	0	0	0.1	0	0	3	"old"	"n"	"anestrus"	NA	"yes"	"M"	10	2023-12-29	5100	2000	2000	2000
"culi_68"	"culi_68"	68	"culi"	68	1	"baseline"	52000	90	29000	0	0	0.1	0	0	3	"old"	"n"	"anestrus"	NA	"yes"	"M"	11	2024-01-01	5100	2000	2000	2000
"warble_68"	"warble_68"	68	"warble"	68	1	"baseline"	52000	90	29000	0	0	0	0	0	1	"old"	"n"	"anestrus"	NA	"yes"	"F"	7	2024-01-01	5100	2000	2000	2000
"warble_69"	"warble_69"	69	"warble"	69	1	"baseline"	52000	90	29000	0	0	0	0	0	1	"old"	"n"	"anestrus"	NA	"yes"	"F"	7	2024-01-02	5100	2000	2000	2000
"warble_73"	"warble_73"	73	"warble"	73	1	"baseline"	52000	90	29000	0	0	0	0	0	1	"old"	"n"	"anestrus"	NA	"yes"	"F"	7	2024-01-06	5100	2000	2000	2000
"culi_74"	"culi_74"	74	"culi"	74	1	"baseline"	52000	90	29000	0	0	0.2	0	0	3	"old"	"n"	"anestrus"	NA	"yes"	"M"	11	2024-01-07	5100	2000	2000	2000
"culi_75"	"culi_75"	75	"culi"	75	1	"baseline"	52000	90	29000	0	0	0.2	0	0	3	"old"	"n"	"anestrus"	NA	"yes"	"M"	11	2024-01-08	5100	2000	2000	2000
"culi_77"	"culi_77"	77	"culi"	77	1	"baseline"	52000	90	29000	0	0	0.2	0	0	3	"old"	"n"	"anestrus"	NA	"yes"	"M"	11	2024-01-10	5100	2000	2000	2000
"warble_80"	"warble_80"	80	"warble"	80	1	"baseline"	52000	90	29000	0	0	0	0	0	1	"old"	"n"	"anestrus"	NA	"yes"	"F"	7	2024-01-13	5100	2000	2000	2000
"culi_81"	"culi_81"	81	"culi"	81	1	"baseline"	52000	90	29000	0	0	0.2	0	0	3	"old"	"n"	"anestrus"	NA	"yes"	"M"	11	2024-01-14	5100	2000	2000	2000
"culi_82"	"culi_82"	82	"culi"	82	1	"baseline"	52000	90	29000	0	0	0.2	0	0	3	"old"	"n"	"anestrus"	NA	"yes"	"M"	11	2024-01-15	5100	2000	2000	2000
"culi_83"	"culi_83"	83	"culi"	83	1	"baseline"	52000	90	29000	0	0	0.2	0	0	0	"old"	"n"	"anestrus"	NA	"yes"	"M"	11	2024-01-16	5100	2000	2000	2000
"warble_83"	"warble_83"	83	"warble"	83	1	"baseline"	52000	90	29000	0	0	0	0	0	1	"old"	"n"	"anestrus"	NA	"yes"	"F"	7	2024-01-16	5100	2000	2000	2000
"culi_84"	"culi_84"	84	"culi"	84	1	"baseline"	52000	90	29000	0	0	0.2	0	0	4.5	"old"	"n"	"anestrus"	NA	"yes"	"M"	11	2024-01-17	5100	2000	2000	2000
"warble_84"	"warble_84"	84	"warble"	84	1	"baseline"	52000	90	29000	0	0	0	0	0	1	"old"	"n"	"anestrus"	NA	"yes"	"F"	7	2024-01-17	5100	2000	2000	2000
"culi_85"	"culi_85"	85	"culi"	85	1	"baseline"	52000	90	29000	0	0	0.2	0	0	2	"old"	"n"	"anestrus"	NA	"yes"	"M"	11	2024-01-18	5100	2000	2000	2000
"warble_85"	"warble_85"	85	"warble"	85	1	"baseline"	52000	90	29000	0	0	0	0	0	1	"old"	"n"	"anestrus"	NA	"yes"	"F"	7	2024-01-18	5100	2000	2000	2000
"culi_86"	"culi_86"	86	"culi"	86	1	"baseline"	52000	90	29000	0	0	0.2	0	0	1	"old"	"n"	"anestrus"	NA	"yes"	"M"	11	2024-01-19	5100	2000	2000	2000
"culi_87"	"culi_87"	87	"culi"	87	1	"baseline"	52000	90	29000	0	0	0.2	0	0	2	"old"	"n"	"anestrus"	NA	"yes"	"M"	11	2024-01-20	5100	2000	2000	2000
"warble_87"	"warble_87"	87	"warble"	87	1	"baseline"	52000	90	29000	0	0	0	0	0	1	"old"	"n"	"anestrus"	NA	"yes"	"F"	7	2024-01-20	5100	2000	2000	2000
"culi_88"	"culi_88"	88	"culi"	88	2	"baseline"	52000	90	29000	0	0	0.2	0	0	6	"old"	"n"	"anestrus"	"health: coprophagy observed"	"yes"	"M"	11	2024-01-21	5100	2000	2000	2000
"warble_88"	"warble_88"	88	"warble"	88	1	"baseline"	52000	90	29000	0	0	0	0	0	1	"old"	"n"	"anestrus"	NA	"yes"	"F"	7	2024-01-21	5100	2000	2000	2000
"culi_89"	"culi_89"	89	"culi"	89	1	"baseline"	52000	90	29000	0	0	0.2	0	0	6	"old"	"n"	"anestrus"	"food: removing cauliflower and broccoli from diet rotation"	"yes"	"M"	11	2024-01-22	5100	2000	2000	2000
"warble_89"	"warble_89"	89	"warble"	89	1	"baseline"	52000	90	29000	0	0	0	0	0	1	"old"	"n"	"anestrus"	NA	"yes"	"F"	7	2024-01-22	5100	2000	2000	2000
"culi_90"	"culi_90"	90	"culi"	90	1	"baseline"	52000	90	29000	0	0	0.2	0	0	2	"old"	"n"	"anestrus"	NA	"yes"	"M"	11	2024-01-23	5100	2000	2000	2000
"warble_90"	"warble_90"	90	"warble"	90	1	"baseline"	52000	90	29000	0	0	0	0	0	1	"old"	"n"	"anestrus"	NA	"yes"	"F"	7	2024-01-23	5100	2000	2000	2000
"culi_91"	"culi_91"	91	"culi"	91	1	"baseline"	52000	90	29000	0	0	0.2	0	0	2	"old"	"n"	"anestrus"	NA	"yes"	"M"	11	2024-01-24	5100	2000	2000	2000
"culi_92"	"culi_92"	92	"culi"	92	1	"oatgel"	60342.85714	90	29904.58333	10	0	0.2	0	0	5.5	"old"	"n"	"anestrus"	NA	"yes"	"M"	11	2024-01-25	4826.53571	1618.96429	2005.1413	1816.25337
"culi_93"	"culi_93"	93	"culi"	93	1	"oatgel"	60342.85714	90	29904.58333	10	0	0.2	0	0	5	"old"	"n"	"anestrus"	NA	"yes"	"M"	11	2024-01-26	4826.53571	1618.96429	2005.1413	1816.25337
"warble_93"	"warble_93"	93	"warble"	93	1	"baseline"	52000	90	29000	0	0	0	0	0	1	"old"	"n"	"anestrus"	NA	"yes"	"F"	7	2024-01-26	5100	2000	2000	2000
"warble_94"	"warble_94"	94	"warble"	94	1	"baseline"	52000	90	29000	0	0	0	0	0	1	"old"	"n"	"anestrus"	NA	"yes"	"F"	7	2024-01-27	5100	2000	2000	2000
"culi_95"	"culi_95"	95	"culi"	95	1	"oatgel"	60342.85714	90	29904.58333	10	0	0.2	0	0	2	"old"	"n"	"anestrus"	NA	"yes"	"M"	11	2024-01-28	4826.53571	1618.96429	2005.1413	1816.25337
"warble_95"	"warble_95"	95	"warble"	95	1	"baseline"	52000	90	29000	0	0	0	0	0	1	"old"	"n"	"anestrus"	NA	"yes"	"F"	7	2024-01-28	5100	2000	2000	2000
"culi_96"	"culi_96"	96	"culi"	96	1	"oatgel"	60342.85714	90	29904.58333	10	0	0.2	0	0	2	"old"	"n"	"anestrus"	NA	"yes"	"M"	11	2024-01-29	4826.53571	1618.96429	2005.1413	1816.25337
"warble_96"	"warble_96"	96	"warble"	96	1	"baseline"	52000	90	29000	0	0	0	0	0	1	"old"	"n"	"anestrus"	NA	"yes"	"F"	7	2024-01-29	5100	2000	2000	2000
"warble_97"	"warble_97"	97	"warble"	97	1	"baseline"	52000	90	29000	0	0	0	0	0	1	"old"	"n"	"anestrus"	NA	"yes"	"F"	7	2024-01-30	5100	2000	2000	2000
"culi_99"	"culi_99"	99	"culi"	99	1	"oatgel"	60342.85714	90	29904.58333	10	0	0.2	0	0	3	"old"	"n"	"anestrus"	NA	"yes"	"M"	11	2024-02-01	4826.53571	1618.96429	2005.1413	1816.25337
"culi_100"	"culi_100"	100	"culi"	100	1	"oatgel"	60342.85714	90	29904.58333	10	0	0.2	0	0	2	"old"	"n"	"anestrus"	NA	"yes"	"M"	11	2024-02-02	4826.53571	1618.96429	2005.1413	1816.25337
"warble_100"	"warble_100"	100	"warble"	100	1	"baseline"	52000	90	29000	0	0	0	0	0	1	"old"	"n"	"anestrus"	NA	"yes"	"F"	7	2024-02-02	5100	2000	2000	2000
"warble_101"	"warble_101"	101	"warble"	101	1	"baseline"	52000	90	29000	0	0	0	0	0	1	"old"	"n"	"anestrus"	NA	"yes"	"F"	7	2024-02-03	5100	2000	2000	2000
"culi_103"	"culi_103"	103	"culi"	103	1	"oatgel"	60342.85714	90	29904.58333	10	0	0.2	0	0	2	"old"	"n"	"anestrus"	NA	"yes"	"M"	11	2024-02-05	4826.53571	1618.96429	2005.1413	1816.25337
"warble_103"	"warble_103"	103	"warble"	103	1	"baseline"	52000	90	29000	0	0	0	0	0	1	"old"	"n"	"anestrus"	NA	"yes"	"F"	7	2024-02-05	5100	2000	2000	2000
"warble_104"	"warble_104"	104	"warble"	104	1	"baseline"	52000	90	29000	0	0	0	0	0	1	"old"	"n"	"anestrus"	NA	"yes"	"F"	7	2024-02-06	5100	2000	2000	2000
"culi_105"	"culi_105"	105	"culi"	105	1	"oatgel"	60342.85714	90	29904.58333	10	0	0.2	0	0	3	"old"	"n"	"anestrus"	NA	"yes"	"M"	11	2024-02-07	4826.53571	1618.96429	2005.1413	1816.25337
"culi_106"	"culi_106"	106	"culi"	106	1	"oatgel"	60342.85714	90	29904.58333	10	0	0.2	0	0	4.5	"old"	"n"	"anestrus"	NA	"yes"	"M"	11	2024-02-08	4826.53571	1618.96429	2005.1413	1816.25337
"warble_106"	"warble_106"	106	"warble"	106	1	"baseline"	52000	90	29000	0	0	0	0	0	1	"old"	"n"	"anestrus"	NA	"yes"	"F"	7	2024-02-08	5100	2000	2000	2000
"culi_107"	"culi_107"	107	"culi"	107	1	"oatgel"	60342.85714	90	29904.58333	10	0	0.2	0	0	2	"old"	"n"	"anestrus"	NA	"yes"	"M"	11	2024-02-09	4826.53571	1618.96429	2005.1413	1816.25337
"warble_107"	"warble_107"	107	"warble"	107	1	"baseline"	52000	90	29000	0	0	0	0	0	1	"old"	"n"	"anestrus"	NA	"yes"	"F"	7	2024-02-09	5100	2000	2000	2000
"culi_108"	"culi_108"	108	"culi"	108	1	"oatgel"	60342.85714	90	29904.58333	10	0	0.2	0	0	6	"old"	"n"	"anestrus"	"health: left biscuit and some gum"	"yes"	"M"	11	2024-02-10	4826.53571	1618.96429	2005.1413	1816.25337
"warble_108"	"warble_108"	108	"warble"	108	1	"baseline"	52000	90	29000	0	0	0	0	0	1	"old"	"n"	"anestrus"	NA	"yes"	"F"	7	2024-02-10	5100	2000	2000	2000
"culi_109"	"culi_109"	109	"culi"	109	1	"oatgel"	60342.85714	90	29904.58333	10	0	0.2	0	0	2	"old"	"n"	"anestrus"	NA	"yes"	"M"	11	2024-02-11	4826.53571	1618.96429	2005.1413	1816.25337
"warble_109"	"warble_109"	109	"warble"	109	1	"baseline"	52000	90	29000	0	0	0	0	0	1	"old"	"n"	"anestrus"	NA	"yes"	"F"	7	2024-02-11	5100	2000	2000	2000
"warble_110"	"warble_110"	110	"warble"	110	1	"baseline"	52000	90	29000	0	0	0	0	0	1	"old"	"n"	"anestrus"	NA	"yes"	"F"	7	2024-02-12	5100	2000	2000	2000
"culi_111"	"culi_111"	111	"culi"	111	1	"oatgel"	60342.85714	90	29904.58333	10	0	0.2	0	0	2	"old"	"n"	"anestrus"	NA	"yes"	"M"	11	2024-02-13	4826.53571	1618.96429	2005.1413	1816.25337
"warble_111"	"warble_111"	111	"warble"	111	1	"baseline"	52000	90	29000	0	0	0	0	0	1	"old"	"n"	"anestrus"	NA	"yes"	"F"	7	2024-02-13	5100	2000	2000	2000
"warble_112"	"warble_112"	112	"warble"	112	1	"baseline"	52000	90	29000	0	0	0	0	0	1	"old"	"n"	"anestrus"	NA	"yes"	"F"	7	2024-02-14	5100	2000	2000	2000
"culi_113"	"culi_113"	113	"culi"	113	1	"oatgel"	60342.85714	90	29904.58333	10	0	0.2	0	0	2	"old"	"n"	"anestrus"	NA	"yes"	"M"	11	2024-02-15	4826.53571	1618.96429	2005.1413	1816.25337
"culi_114"	"culi_114"	114	"culi"	114	1	"oatgel"	60342.85714	90	29904.58333	10	0	0.2	0	0	3	"old"	"n"	"anestrus"	NA	"yes"	"M"	11	2024-02-16	4826.53571	1618.96429	2005.1413	1816.25337
"warble_114"	"warble_114"	114	"warble"	114	1	"baseline"	52000	90	29000	0	0	0	0	0	1	"old"	"n"	"anestrus"	NA	"yes"	"F"	7	2024-02-16	5100	2000	2000	2000
"culi_115"	"culi_115"	115	"culi"	115	1	"oatgel"	60342.85714	90	29904.58333	10	0	0.2	0	0	2	"old"	"n"	"anestrus"	NA	"yes"	"M"	11	2024-02-17	4826.53571	1618.96429	2005.1413	1816.25337
"culi_116"	"culi_116"	116	"culi"	116	1	"oatgel"	60342.85714	90	29904.58333	10	0	0.2	0	0	2	"old"	"n"	"anestrus"	NA	"yes"	"M"	11	2024-02-18	4826.53571	1618.96429	2005.1413	1816.25337
"culi_117"	"culi_117"	117	"culi"	117	1	"oatgel"	60342.85714	90	29904.58333	10	0	0.2	0	0	2	"old"	"n"	"anestrus"	NA	"yes"	"M"	11	2024-02-19	4826.53571	1618.96429	2005.1413	1816.25337
"warble_117"	"warble_117"	117	"warble"	117	1	"baseline"	52000	90	29000	0	0	0	0	0	1	"old"	"n"	"anestrus"	NA	"yes"	"F"	7	2024-02-19	5100	2000	2000	2000
"culi_118"	"culi_118"	118	"culi"	118	1	"oatgel"	60342.85714	90	29904.58333	0	0	0.2	0	0	2	"old"	"n"	"anestrus"	"food: removing tomato from diet rotation"	"yes"	"M"	11	2024-02-20	4826.53571	1618.96429	2005.1413	1816.25337
"warble_118"	"warble_118"	118	"warble"	118	1	"baseline"	52000	90	29000	0	0	0	0	0	1	"old"	"n"	"anestrus"	NA	"yes"	"F"	7	2024-02-20	5100	2000	2000	2000
"culi_119"	"culi_119"	119	"culi"	119	1	"oatgel"	60342.85714	90	29904.58333	0	0	0.2	0	0	3	"old"	"n"	"anestrus"	NA	"yes"	"M"	11	2024-02-21	4826.53571	1618.96429	2005.1413	1816.25337
"warble_119"	"warble_119"	119	"warble"	119	1	"baseline"	52000	90	29000	0	0	0	0	0	1	"old"	"n"	"anestrus"	NA	"yes"	"F"	7	2024-02-21	5100	2000	2000	2000
"culi_120"	"culi_120"	120	"culi"	120	1	"oatgel"	60342.85714	90	29904.58333	0	0	0.2	0	0	3	"old"	"n"	"anestrus"	NA	"yes"	"M"	11	2024-02-22	4826.53571	1618.96429	2005.1413	1816.25337
"warble_120"	"warble_120"	120	"warble"	120	1	"baseline"	52000	90	29000	0	0	0	0	0	1	"old"	"n"	"anestrus"	NA	"yes"	"F"	7	2024-02-22	5100	2000	2000	2000
