index,ref,startpos,endpos,number of reads,covbases,coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads
12,NR_029097.1,1,1374,103,1322,96.2154,96.1303,36.1,2.15,237576,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Oribacterium,Oribacterium sinus,96.13027656477438,21.28261056303797,0.22139341863535938,2.08
13,NR_029207.1,1,1426,1,1355,95.021,0.95021,23.6,1.0,907,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera elsdenii,0.9502103786816269,0.21758634000983157,0.22898754306569727,0.02
14,NR_029356.1,1,1550,10,1454,93.8065,9.23677,36.6,2.7,292800,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Flavonifractor,Flavonifractor plautii,9.236774193548387,2.4216720918497594,0.2621772537799209,0.2
15,NR_040866.1,1,1425,1,1368,96.0,0.96,26.5,1.0,820,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides uniformis,0.96,0.19602797323885907,0.20419580545714486,0.02
16,NR_040955.1,1,1499,1,1459,97.3316,0.973316,35.7,0.0,1358,Bacteria,unclassified Bacteria kingdom,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,Lactococcus lactis,0.9733155436957972,0.16121331875524436,0.1656331492900009,0.02
17,NR_041342.1,1,1488,5,1449,97.379,4.76949,32.2,9.4,823,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides distasonis,4.769489247311828,0.8553541218257198,0.17933872527499944,0.1
18,NR_041343.1,1,1492,56,1454,97.4531,53.3686,36.4,20.4,46503,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides merdae,53.3686327077748,9.685298033365827,0.18147922369303762,1.13
19,NR_041464.1,1,1492,2,1448,97.0509,1.70509,26.1,1.0,387661,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides johnsonii,1.7050938337801609,0.5168140592838212,0.3031000693598511,0.04
20,NR_041508.1,1,1461,7,1450,99.2471,6.66119,38.1,1.0,397865,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Barnesiellaceae,Barnesiella,Barnesiella viscericola,6.661190965092403,1.0977216528819982,0.16479360202020132,0.14
21,NR_041590.1,1,1342,580,1305,97.2429,545.835,37.5,14.6,742816,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas funiformis,545.8345752608047,119.90552232755678,0.2196737395579326,11.7
22,NR_041627.1,1,1481,1,1324,89.3991,0.893991,21.4,0.0,762982,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Paraprevotella,Paraprevotella xylaniphila,0.8939905469277515,0.307953703816601,0.3444708726226481,0.02
23,NR_041668.1,1,1484,1,1331,89.69,0.8969,28.9,0.0,742726,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Barnesiellaceae,Barnesiella,Barnesiella intestinihominis,0.8969002695417789,0.3041915999731019,0.33915877863266963,0.02
24,NR_042007.1,1,1454,1,1417,97.4553,0.974553,38.7,1.0,622312,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Roseburia,Roseburia inulinivorans,0.9745529573590096,0.15753272182682831,0.16164613799308988,0.02
25,NR_042152.1,1,1456,3,1432,98.3516,2.61745,27.9,0.0,168384,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Marvinbryantia,Marvinbryantia formatexigens,2.6174450549450547,0.6673108033886251,0.25494739693881874,0.06
26,NR_042413.1,1,1497,2,1461,97.5952,1.93788,37.7,12.5,587,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Morganellaceae,Providencia,Providencia rettgeri,1.937875751503006,0.32623935318724884,0.16834895267883884,0.04
27,NR_043142.1,1,1465,2,1448,98.8396,1.87235,37.9,14.0,292800,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Flavonifractor,Flavonifractor plautii,1.8723549488054607,0.36694944581401284,0.19598284291561385,0.04
28,NR_043224.1,1,1455,4,1455,100.0,3.75533,27.8,0.0,305719,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella baroniae,3.7553264604810996,0.579863985813497,0.1544110723569982,0.08
29,NR_043231.1,1,1396,23,1374,98.4241,22.2056,36.9,2.43,308994,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Dialister,Dialister propionicifaciens,22.205587392550143,3.1949777365671794,0.14388170328874422,0.46
30,NR_043657.1,1,1553,6,1482,95.4282,4.8255,20.9,2.0,349095,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera paucivorans,4.825499034127495,1.479610180936615,0.30662324672999236,0.12
31,NR_043680.1,1,1395,2,1374,98.4946,1.87742,24.0,1.0,358742,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Enterocloster,Enterocloster aldenensis,1.8774193548387097,0.37116156969160924,0.19769774330652726,0.04
32,NR_043681.1,1,1420,3,1351,95.1408,2.8007,38.6,3.0,358743,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Enterocloster,Enterocloster citroniae,2.8007042253521126,0.6739904076532777,0.24065033413820827,0.06
33,NR_044473.1,1,1399,10,1396,99.7856,9.77698,33.8,1.0,491921,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas rupellensis,9.77698355968549,0.8175554434795228,0.0836204171244226,0.2
34,NR_044657.2,1,1470,1,1400,95.2381,0.952381,38.9,60.0,2153,Bacteria,unclassified Bacteria kingdom,Tenericutes,Mollicutes,Anaeroplasmatales,Anaeroplasmataceae,Asteroleplasma,Asteroleplasma anaerobium,0.9523809523809523,0.21303132696226165,0.22368289331037475,0.02
35,NR_074535.1,1,1512,2,1439,95.172,1.86706,35.3,4.5,28118,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Odoribacteraceae,Odoribacter,Odoribacter splanchnicus,1.867063492063492,0.4603970331466306,0.2465888466587692,0.04
36,NR_074902.1,1,1542,14,1464,94.9416,13.2419,39.1,0.0,585054,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia fergusonii,13.24189364461738,3.0665105791590803,0.2315764392508596,0.28
37,NR_102481.1,1,1533,2,1443,94.1292,1.80104,28.9,0.5,908937,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella dentalis,1.8010437051532941,0.5262795733655986,0.2922081079208485,0.04
38,NR_102980.1,1,1552,14,1509,97.2294,12.9504,29.0,1.0,1064535,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera elsdenii,12.950386597938145,2.8239990858543176,0.21806291762007565,0.28
39,NR_104803.1,1,1521,5,1452,95.4635,4.74096,37.3,3.0,39482,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Faecalicatena,Faecalicatena contorta,4.740959894806049,1.0531713381351882,0.22214305995057843,0.1
40,NR_104899.1,1,1480,1,1425,96.2838,0.962838,38.1,1.0,384636,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,Hungatella,Hungatella xylanolytica,0.9628378378378378,0.18922296016928614,0.19652630249160946,0.02
41,NR_104948.1,1,1413,1,1244,88.0396,0.880396,39.1,9.0,1056810,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Prolinoborus,Prolinoborus fasciculus,0.8803963198867657,0.3246124056842625,0.36871167944683514,0.02
42,NR_112901.1,1,1469,5,1439,97.9578,4.83186,35.6,0.0,762983,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Succinatimonas,Succinatimonas hippei,4.831858407079646,0.7748907924061117,0.16037117132214398,0.1
43,NR_112940.1,1,1459,2,1451,99.4517,1.9719,34.6,39.0,28116,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides ovatus,1.9718985606579849,0.19571514424423425,0.09925213606268259,0.04
44,NR_112945.1,1,1477,1,1441,97.5626,0.975626,40.4,31.0,820,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides uniformis,0.975626269465132,0.15425875232829178,0.1581125448916634,0.02
45,NR_113021.1,1,1476,1,1434,97.1545,0.971545,39.1,60.0,29363,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Clostridium paraputrificum,0.9715447154471545,0.16632595738749895,0.17119742894278134,0.02
46,NR_113073.1,1,1481,2,1393,94.0581,1.80419,35.7,0.0,487174,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Barnesiellaceae,Barnesiella,Barnesiella intestinihominis,1.8041863605671844,0.5258288467335008,0.29144929716029744,0.04
47,NR_113075.1,1,1485,1,1431,96.3636,0.963636,35.7,0.0,28118,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Odoribacteraceae,Odoribacter,Odoribacter splanchnicus,0.9636363636363636,0.1872563351797078,0.19432261197894207,0.02
48,NR_113094.1,1,1494,8,1474,98.6613,7.46386,27.0,3.38,305719,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella baroniae,7.463855421686747,1.3291386835722505,0.17807669206859852,0.16
49,NR_113097.1,1,1480,152,1479,99.9324,144.508,35.6,29.0,873513,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella buccae,144.5081081081081,23.777306677762,0.16453960258045822,3.07
50,NR_113100.1,1,1483,1,1368,92.2454,0.922454,20.2,0.0,908937,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella dentalis,0.9224544841537424,0.2675452787207732,0.2900362926483236,0.02
51,NR_113102.1,1,1494,1,1059,70.8835,0.708835,11.9,0.0,1236509,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella dentasini,0.7088353413654619,0.4544513584196237,0.6411240127279677,0.02
52,NR_113108.1,1,1490,3,1462,98.1208,2.83691,25.9,0.333,840,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella loescheii,2.8369127516778523,0.5344855605260304,0.1884039472873871,0.06
53,NR_113109.1,1,1476,5,1470,99.5935,4.81369,32.7,0.4,840,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella loescheii,4.813685636856369,0.6748577000717282,0.14019563199238153,0.1
54,NR_113165.1,1,1466,1,1416,96.5894,0.965894,35.2,13.0,147207,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,Collinsella intestinalis,0.965893587994543,0.1815644554074132,0.18797562968027384,0.02
55,NR_113231.1,1,1491,12,1452,97.3843,11.5755,36.4,18.7,536633,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Blautia,Blautia glucerasea,11.575452716297788,1.9431969730622927,0.16787222242516242,0.24
56,NR_113271.1,1,1490,1,1441,96.7114,0.967114,37.5,1.0,742725,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes indistinctus,0.9671140939597316,0.17839782176348898,0.18446409051186577,0.02
57,NR_113273.1,1,1469,1,1417,96.4602,0.964602,37.0,0.0,742742,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,Collinsella tanakaei,0.9646017699115044,0.1848471126768962,0.1916304929586172,0.02
58,NR_113274.1,1,1478,3,1432,96.8877,2.89175,36.5,0.0,762983,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Succinatimonas,Succinatimonas hippei,2.891745602165088,0.5336853997010204,0.1845547545058746,0.06
59,NR_113305.1,1,1174,1,875,74.5315,0.745315,43.4,1.0,1064535,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera elsdenii,0.7453151618398637,0.43586958617831933,0.584812450483825,0.02
60,NR_113357.1,1,1465,4,1453,99.1809,3.81024,33.2,12.5,308994,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Dialister,Dialister propionicifaciens,3.8102389078498295,0.6246564172450033,0.1639415355184396,0.08
61,NR_113393.1,1,1528,3,1482,96.9895,2.86518,35.3,4.67,2741,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Peptococcaceae,Peptococcus,Peptococcus niger,2.865183246073298,0.5549254058741089,0.193678853397816,0.06
62,NR_113410.1,1,1390,6,1380,99.2806,5.81871,34.2,2.5,208479,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,5.818705035971223,0.6757731188660615,0.11613806073489435,0.12
63,NR_113411.1,1,1493,95,1493,100.0,91.6979,35.2,44.6,537011,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella copri,91.69792364367046,14.744080549001781,0.16078968817544764,1.92
64,NR_113580.1,1,1468,4,1465,99.7956,3.93597,36.7,1.0,582,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Morganellaceae,Morganella,Morganella morganii,3.9359673024523163,0.2976629332550949,0.07562637348883339,0.08
65,NR_114015.1,1,1486,1,1475,99.2598,0.992598,41.5,36.0,417368,Bacteria,unclassified Bacteria kingdom,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus thailandicus,0.9925975773889637,0.08574715533080766,0.08638662564174927,0.02
66,NR_114327.1,1,1463,1,1366,93.3698,0.933698,10.1,18.0,1151742,Bacteria,unclassified Bacteria kingdom,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,Lactococcus taiwanensis,0.9336978810663021,0.24889453876100942,0.26656860190875314,0.02
67,NR_114705.1,1,1502,2,1453,96.7377,1.93342,41.1,36.0,71656,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Pectobacteriaceae,Brenneria,Brenneria alni,1.933422103861518,0.35703849829477974,0.18466660621169392,0.04
68,NR_114807.1,1,1456,1,1292,88.7363,0.887363,20.9,0.0,168384,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Marvinbryantia,Marvinbryantia formatexigens,0.8873626373626373,0.31625761882076525,0.35640177477015034,0.02
69,NR_115211.1,1,1485,6,1447,97.4411,5.81145,39.4,0.167,253257,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora amygdalina,5.811447811447811,0.9772359761610093,0.16815705962909605,0.12
70,NR_115702.1,1,1341,98,1341,100.0,96.9858,37.5,27.2,28898,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter helveticus,96.98583146905294,1.7544678144310974,0.018089939405127726,1.98
71,NR_115763.1,1,1481,2,1481,100.0,1.98785,39.6,0.0,1140002,Bacteria,unclassified Bacteria kingdom,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus avium,1.987846049966239,0.10960996237085727,0.05514006598887215,0.04
72,NR_115765.1,1,1483,2,1483,100.0,1.98989,39.4,32.0,1351,Bacteria,unclassified Bacteria kingdom,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecalis,1.9898853674983141,0.10009536785979153,0.05030207744360246,0.04
73,NR_116050.1,1,1454,1,1402,96.4237,0.964237,26.4,1.0,439703,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella maculosa,0.9642365887207703,0.18576362110859562,0.19265356996569047,0.02
74,NR_116860.1,1,1455,7,1455,100.0,6.4378,25.6,0.143,305719,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella baroniae,6.437800687285224,0.9664669851705032,0.15012378172553456,0.14
75,NR_116923.1,1,1482,3,1248,84.2105,2.40756,39.3,1.0,1031542,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter volucris,2.407557354925776,1.1320138423986077,0.4701918482160136,0.06
76,NR_116936.1,1,1428,1,1414,99.0196,0.990196,36.6,33.0,604330,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Coriobacteriia,Coriobacteriales,Atopobiaceae,Parafannyhessea,Parafannyhessea umbonata,0.9901960784313726,0.09856270916035223,0.09953857756788047,0.02
77,NR_118085.1,1,1471,1,1423,96.7369,0.967369,41.1,19.0,654363,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter troglodytis,0.9673691366417403,0.17772890492388846,0.18372397691007725,0.02
78,NR_118128.1,1,1310,1,1294,98.7786,0.987786,42.0,12.0,1531,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Enterocloster,Enterocloster clostridioformis,0.9877862595419847,0.1098807609604038,0.1112394102458493,0.02
79,NR_118249.1,1,1463,1,1459,99.7266,0.997266,36.9,60.0,1107316,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,Neisseria oralis,0.9972658920027341,0.05223502323669685,0.05237823097689341,0.02
80,NR_118517.1,1,1435,1,1137,79.2334,0.792334,15.3,1.0,28898,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter helveticus,0.7923344947735191,0.4057773841957706,0.5121288885848116,0.02
81,NR_118520.1,1,1435,1,1391,96.9338,0.969338,26.2,1.0,889247,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter jejuni,0.9693379790940767,0.17246039522740864,0.17791564856314263,0.02
82,NR_118643.1,1,1390,31,1377,99.0647,30.1878,37.4,34.9,1432052,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Eisenbergiella,Eisenbergiella tayi,30.187769784172662,3.7192697757416164,0.12320452296849091,0.63
83,NR_121773.2,1,1532,13,1449,94.5822,11.7787,36.8,1.0,397865,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Barnesiellaceae,Barnesiella,Barnesiella viscericola,11.778720626631854,3.354319703658094,0.2847779321698088,0.26
84,NR_125570.1,1,1395,186,1365,97.8495,171.782,38.0,1.37,796943,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Oribacterium,Oribacterium parvum,171.78207885304658,45.44899353002124,0.2645735447694822,3.75
85,NR_125571.1,1,1436,7,1436,100.0,6.70125,33.6,2.57,796944,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Oribacterium,Oribacterium asaccharolyticum,6.701253481894151,0.9063606991076029,0.13525241233695498,0.14
86,NR_133027.1,1,1519,726,1519,100.0,699.603,37.3,6.19,1232428,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera massiliensis,699.6030283080975,108.04435855880332,0.15443666506146367,14.65
87,NR_134080.1,1,1566,21,1490,95.1469,18.6622,23.1,9.57,879612,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera indica,18.662196679438058,4.607834836534542,0.24690742015442577,0.42
88,NR_134091.1,1,1444,1,1350,93.4903,0.934903,30.0,1.0,1462919,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Mobilitalea,Mobilitalea sibirica,0.9349030470914127,0.24678232350625118,0.2639656852911309,0.02
89,NR_134772.1,1,1433,2,1314,91.6957,1.71668,26.6,1.0,1337051,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Murimonas,Murimonas intestini,1.716678297278437,0.6077774492852368,0.35404271740883914,0.04
90,NR_135861.1,1,1487,2,1394,93.7458,1.84264,33.9,12.0,1591088,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter himalayensis,1.8426361802286484,0.5077971228917733,0.27558186924819955,0.04
91,NR_144607.1,1,1378,1,1334,96.807,0.96807,39.2,1.0,1796615,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Blautia,Blautia caecimuris,0.9680696661828737,0.1758784680418012,0.1816795569427302,0.02
92,NR_144616.1,1,1460,2,1240,84.9315,1.66507,38.4,6.5,1796646,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,Muribaculum,Muribaculum intestinale,1.665068493150685,0.7242109426676491,0.4349436348394766,0.04
93,NR_144731.1,1,1495,1,1409,94.2475,0.942475,25.4,0.0,1720294,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Eisenbergiella,Eisenbergiella massiliensis,0.9424749163879599,0.23292109713277265,0.24713771484279284,0.02
94,NR_144737.1,1,1480,15,1437,97.0946,14.25,37.4,4.13,1776384,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Eubacteriales Family XIII. Incertae Sedis,Emergencia,Emergencia timonensis,14.25,2.8900870419780786,0.20281312575284763,0.3
95,NR_144744.1,1,1491,1,1307,87.6593,0.876593,19.6,1.0,1841856,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides mediterraneensis,0.8765928906773978,0.32901428120678017,0.3753330476505809,0.02
96,NR_144746.1,1,1494,39,1485,99.3976,36.1165,33.1,22.8,1841864,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Marseilla,Marseilla massiliensis,36.11646586345382,6.928673782789761,0.1918425188385022,0.79
