"Organism"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"txid1384639"	"Bacteria"	"Acidobacteria"	"Blastocatellia"	"Blastocatellales"	"Blastocatellaceae"	"Aridibacter"	"Aridibacter kavangonensis"
"txid1911421"	"Bacteria"	"Acidobacteria"	"Blastocatellia"	"Blastocatellales"	"Blastocatellaceae"	"Aridibacter"	"Aridibacter nitratireducens"
"txid1235480"	"Bacteria"	"Acidobacteria"	"Blastocatellia"	"Blastocatellales"	"Blastocatellaceae"	"Blastocatella"	"Blastocatella fastidiosa"
"txid1603871"	"Bacteria"	"Acidobacteria"	"Blastocatellia"	"Blastocatellales"	"Blastocatellaceae"	"Stenotrophobacter"	"Stenotrophobacter namibiensis"
"txid1458337"	"Bacteria"	"Acidobacteria"	"Blastocatellia"	"Blastocatellales"	"Blastocatellaceae"	"Stenotrophobacter"	"Stenotrophobacter terrae"
"txid2818388"	"Bacteria"	"Acidobacteria"	"Holophagae"	"Acanthopleuribacterales"	"Acanthopleuribacteraceae"	"Sulfidibacter"	"Sulfidibacter corallicola"
"txid35839"	"Bacteria"	"Acidobacteria"	"Holophagae"	"Holophagales"	"Holophagaceae"	"Holophaga"	"Holophaga foetida"
"txid1855912"	"Bacteria"	"Acidobacteria"	"Vicinamibacteria"	"Vicinamibacterales"	"Vicinamibacteraceae"	"Luteitalea"	"Luteitalea pratensis"
"txid1612172"	"Bacteria"	"Acidobacteria"	"Vicinamibacteria"	"Vicinamibacterales"	"Vicinamibacteraceae"	"Vicinamibacter"	"Vicinamibacter silvestris"
"txid2664430"	"Bacteria"	"Actinobacteria"	"Acidimicrobiia"	"Acidimicrobiales"	"Acidimicrobiaceae"	"Acidiferrimicrobium"	"Acidiferrimicrobium australe"
"txid1294026"	"Bacteria"	"Actinobacteria"	"Acidimicrobiia"	"Acidimicrobiales"	"Acidimicrobiaceae"	"Aciditerrimonas"	"Aciditerrimonas ferrireducens"
"txid2789776"	"Bacteria"	"Actinobacteria"	"Acidimicrobiia"	"Acidimicrobiales"	"Iamiaceae"	"Actinomarinicola"	"Actinomarinicola tropica"
"txid1052257"	"Bacteria"	"Actinobacteria"	"Acidimicrobiia"	"Acidimicrobiales"	"Iamiaceae"	"Aquihabitans"	"Aquihabitans daechungensis"
"txid2751370"	"Bacteria"	"Actinobacteria"	"Acidimicrobiia"	"Acidimicrobiales"	"Iamiaceae"	"Rhabdothermincola"	"Rhabdothermincola sediminis"
"txid1331058"	"Bacteria"	"Actinobacteria"	"Acidimicrobiia"	"Acidimicrobiales"	"Ilumatobacteraceae"	"Ilumatobacter"	"Ilumatobacter fluminis"
"txid28049"	"Bacteria"	"Actinobacteria"	"Actinomycetia"	"Acidothermales"	"Acidothermaceae"	"Acidothermus"	"Acidothermus cellulolyticus"
"txid2060916"	"Bacteria"	"Actinobacteria"	"Actinomycetia"	"Actinomycetales"	"Actinomycetaceae"	"Actinomyces"	"Actinomyces oralis"
"txid1798155"	"Bacteria"	"Actinobacteria"	"Actinomycetia"	"Bifidobacteriales"	"Bifidobacteriaceae"	"Bifidobacterium"	"Bifidobacterium aerophilum"
"txid518634"	"Bacteria"	"Actinobacteria"	"Actinomycetia"	"Bifidobacteriales"	"Bifidobacteriaceae"	"Bifidobacterium"	"Bifidobacterium breve"
"txid1437609"	"Bacteria"	"Actinobacteria"	"Actinomycetia"	"Bifidobacteriales"	"Bifidobacteriaceae"	"Bifidobacterium"	"Bifidobacterium callitrichos"
"txid2650773"	"Bacteria"	"Actinobacteria"	"Actinomycetia"	"Bifidobacteriales"	"Bifidobacteriaceae"	"Bifidobacterium"	"Bifidobacterium cebidarum"
"txid1682"	"Bacteria"	"Actinobacteria"	"Actinomycetia"	"Bifidobacteriales"	"Bifidobacteriaceae"	"Bifidobacterium"	"Bifidobacterium longum"
"txid2834437"	"Bacteria"	"Actinobacteria"	"Actinomycetia"	"Bifidobacteriales"	"Bifidobacteriaceae"	"Bifidobacterium"	"Bifidobacterium miconisargentati"
"txid2675322"	"Bacteria"	"Actinobacteria"	"Actinomycetia"	"Bifidobacteriales"	"Bifidobacteriaceae"	"Bifidobacterium"	"Bifidobacterium oedipodis"
"txid2834432"	"Bacteria"	"Actinobacteria"	"Actinomycetia"	"Bifidobacteriales"	"Bifidobacteriaceae"	"Bifidobacterium"	"Bifidobacterium pongonis"
"txid28026"	"Bacteria"	"Actinobacteria"	"Actinomycetia"	"Bifidobacteriales"	"Bifidobacteriaceae"	"Bifidobacterium"	"Bifidobacterium pseudocatenulatum"
"txid1690"	"Bacteria"	"Actinobacteria"	"Actinomycetia"	"Bifidobacteriales"	"Bifidobacteriaceae"	"Bifidobacterium"	"Bifidobacterium pseudolongum"
"txid78257"	"Bacteria"	"Actinobacteria"	"Actinomycetia"	"Bifidobacteriales"	"Bifidobacteriaceae"	"Bifidobacterium"	"Bifidobacterium pullorum"
"txid2306974"	"Bacteria"	"Actinobacteria"	"Actinomycetia"	"Bifidobacteriales"	"Bifidobacteriaceae"	"Bifidobacterium"	"Bifidobacterium samirii"
"txid2809028"	"Bacteria"	"Actinobacteria"	"Actinomycetia"	"Bifidobacteriales"	"Bifidobacteriaceae"	"Bifidobacterium"	"Bifidobacterium santillanense"
"txid2834434"	"Bacteria"	"Actinobacteria"	"Actinomycetia"	"Bifidobacteriales"	"Bifidobacteriaceae"	"Bifidobacterium"	"Bifidobacterium simiiventris"
"txid1285583"	"Bacteria"	"Actinobacteria"	"Actinomycetia"	"Corynebacteriales"	"Corynebacteriaceae"	"Corynebacterium"	"Corynebacterium casei"
"txid2014528"	"Bacteria"	"Actinobacteria"	"Actinomycetia"	"Corynebacteriales"	"Corynebacteriaceae"	"Corynebacterium"	"Corynebacterium dentalis"
"txid1758466"	"Bacteria"	"Actinobacteria"	"Actinomycetia"	"Corynebacteriales"	"Corynebacteriaceae"	"Corynebacterium"	"Corynebacterium faecale"
"txid1437875"	"Bacteria"	"Actinobacteria"	"Actinomycetia"	"Corynebacteriales"	"Corynebacteriaceae"	"Corynebacterium"	"Corynebacterium frankenforstense"
"txid1718"	"Bacteria"	"Actinobacteria"	"Actinomycetia"	"Corynebacteriales"	"Corynebacteriaceae"	"Corynebacterium"	"Corynebacterium glutamicum"
"txid1705"	"Bacteria"	"Actinobacteria"	"Actinomycetia"	"Corynebacteriales"	"Corynebacteriaceae"	"Corynebacterium"	"Corynebacterium stationis"
"txid1727"	"Bacteria"	"Actinobacteria"	"Actinomycetia"	"Corynebacteriales"	"Corynebacteriaceae"	"Corynebacterium"	"Corynebacterium variabile"
"txid326424"	"Bacteria"	"Actinobacteria"	"Actinomycetia"	"Frankiales"	"Frankiaceae"	"Frankia"	"Frankia alni"
"txid38502"	"Bacteria"	"Actinobacteria"	"Actinomycetia"	"Geodermatophilales"	"Geodermatophilaceae"	"Blastococcus"	"Blastococcus aggregatus"
"txid1564166"	"Bacteria"	"Actinobacteria"	"Actinomycetia"	"Geodermatophilales"	"Geodermatophilaceae"	"Blastococcus"	"Blastococcus tunisiensis"
"txid1610748"	"Bacteria"	"Actinobacteria"	"Actinomycetia"	"Jatrophihabitantales"	"Jatrophihabitantaceae"	"Jatrophihabitans"	"Jatrophihabitans soli"
"txid1033736"	"Bacteria"	"Actinobacteria"	"Actinomycetia"	"Micrococcales"	"Brevibacteriaceae"	"Brevibacterium"	"Brevibacterium senegalense"
"txid402171"	"Bacteria"	"Actinobacteria"	"Actinomycetia"	"Micrococcales"	"Intrasporangiaceae"	"Lapillicoccus"	"Lapillicoccus jejuensis"
"txid1686285"	"Bacteria"	"Actinobacteria"	"Actinomycetia"	"Micrococcales"	"Microbacteriaceae"	"Leucobacter"	"Leucobacter massiliensis"
"txid1631477"	"Bacteria"	"Actinobacteria"	"Actinomycetia"	"Micrococcales"	"Microbacteriaceae"	"Microbacterium"	"Microbacterium rhizomatis"
"txid33888"	"Bacteria"	"Actinobacteria"	"Actinomycetia"	"Micrococcales"	"Microbacteriaceae"	"Rathayibacter"	"Rathayibacter tritici"
"txid861360"	"Bacteria"	"Actinobacteria"	"Actinomycetia"	"Micrococcales"	"Micrococcaceae"	"Glutamicibacter"	"Glutamicibacter arilaitensis"
"txid162496"	"Bacteria"	"Actinobacteria"	"Actinomycetia"	"Micrococcales"	"Micrococcaceae"	"Glutamicibacter"	"Glutamicibacter creatinolyticus"
"txid1933880"	"Bacteria"	"Actinobacteria"	"Actinomycetia"	"Micrococcales"	"Micrococcaceae"	"Glutamicibacter"	"Glutamicibacter halophytocola"
"txid257984"	"Bacteria"	"Actinobacteria"	"Actinomycetia"	"Micrococcales"	"Micrococcaceae"	"Glutamicibacter"	"Glutamicibacter mysorens"
"txid37929"	"Bacteria"	"Actinobacteria"	"Actinomycetia"	"Micrococcales"	"Micrococcaceae"	"Glutamicibacter"	"Glutamicibacter nicotianae"
"txid453836"	"Bacteria"	"Actinobacteria"	"Actinomycetia"	"Micrococcales"	"Micrococcaceae"	"Glutamicibacter"	"Glutamicibacter soli"
"txid262208"	"Bacteria"	"Actinobacteria"	"Actinomycetia"	"Micrococcales"	"Micrococcaceae"	"Kocuria"	"Kocuria carniphila"
"txid1198245"	"Bacteria"	"Actinobacteria"	"Actinomycetia"	"Micromonosporales"	"Micromonosporaceae"	"Micromonospora"	"Micromonospora avicenniae"
"txid648751"	"Bacteria"	"Actinobacteria"	"Actinomycetia"	"Propionibacteriales"	"Nocardioidaceae"	"Flindersiella"	"Flindersiella endophytica"
"txid546871"	"Bacteria"	"Actinobacteria"	"Actinomycetia"	"Propionibacteriales"	"Nocardioidaceae"	"Friedmanniella"	"Friedmanniella luteola"
"txid348582"	"Bacteria"	"Actinobacteria"	"Actinomycetia"	"Propionibacteriales"	"Nocardioidaceae"	"Propionicicella"	"Propionicicella superfundia"
"txid1747"	"Bacteria"	"Actinobacteria"	"Actinomycetia"	"Propionibacteriales"	"Propionibacteriaceae"	"Cutibacterium"	"Cutibacterium acnes"
"txid1036181"	"Bacteria"	"Actinobacteria"	"Actinomycetia"	"Propionibacteriales"	"Propionibacteriaceae"	"Microlunatus"	"Microlunatus flavus"
"txid363863"	"Bacteria"	"Actinobacteria"	"Actinomycetia"	"Propionibacteriales"	"Propionibacteriaceae"	"Microlunatus"	"Microlunatus ginsengisoli"
"txid1752"	"Bacteria"	"Actinobacteria"	"Actinomycetia"	"Propionibacteriales"	"Propionibacteriaceae"	"Propionibacterium"	"Propionibacterium freudenreichii"
"txid663606"	"Bacteria"	"Actinobacteria"	"Actinomycetia"	"Pseudonocardiales"	"Pseudonocardiaceae"	"Actinomycetospora"	"Actinomycetospora chibensis"
"txid1902"	"Bacteria"	"Actinobacteria"	"Actinomycetia"	"Streptomycetales"	"Streptomycetaceae"	"Streptomyces"	"Streptomyces coelicolor"
"txid1956"	"Bacteria"	"Actinobacteria"	"Actinomycetia"	"Streptomycetales"	"Streptomycetaceae"	"Streptomyces"	"Streptomyces diastaticus"
"txid1964384"	"Bacteria"	"Actinobacteria"	"Coriobacteriia"	"Coriobacteriales"	"Atopobiaceae"	"Olsenella"	"Olsenella congonensis"
"txid2930083"	"Bacteria"	"Actinobacteria"	"Coriobacteriia"	"Coriobacteriales"	"Atopobiaceae"	"Olsenella"	"Olsenella intestinalis"
"txid2584469"	"Bacteria"	"Actinobacteria"	"Coriobacteriia"	"Coriobacteriales"	"Atopobiaceae"	"Olsenella"	"Olsenella lakotia"
"txid1852385"	"Bacteria"	"Actinobacteria"	"Coriobacteriia"	"Coriobacteriales"	"Atopobiaceae"	"Olsenella"	"Olsenella phocaeensis"
"txid2652279"	"Bacteria"	"Actinobacteria"	"Coriobacteriia"	"Coriobacteriales"	"Atopobiaceae"	"Olsenella"	"Olsenella porci"
"txid997349"	"Bacteria"	"Actinobacteria"	"Coriobacteriia"	"Coriobacteriales"	"Atopobiaceae"	"Olsenella"	"Olsenella profusa"
"txid1805478"	"Bacteria"	"Actinobacteria"	"Coriobacteriia"	"Coriobacteriales"	"Atopobiaceae"	"Olsenella"	"Olsenella timonensis"
"txid633147"	"Bacteria"	"Actinobacteria"	"Coriobacteriia"	"Coriobacteriales"	"Atopobiaceae"	"Olsenella"	"Olsenella uli"
"txid604330"	"Bacteria"	"Actinobacteria"	"Coriobacteriia"	"Coriobacteriales"	"Atopobiaceae"	"Parafannyhessea"	"Parafannyhessea umbonata"
"txid2003188"	"Bacteria"	"Actinobacteria"	"Coriobacteriia"	"Coriobacteriales"	"Atopobiaceae"	"Parolsenella"	"Parolsenella catena"
"txid1871022"	"Bacteria"	"Actinobacteria"	"Coriobacteriia"	"Coriobacteriales"	"Atopobiaceae"	"Parolsenella"	"Parolsenella massiliensis"
"txid2779357"	"Bacteria"	"Actinobacteria"	"Coriobacteriia"	"Coriobacteriales"	"Atopobiaceae"	"Thermophilibacter"	"Thermophilibacter gallinarum"
"txid2779519"	"Bacteria"	"Actinobacteria"	"Coriobacteriia"	"Coriobacteriales"	"Atopobiaceae"	"Thermophilibacter"	"Thermophilibacter immobilis"
"txid1871031"	"Bacteria"	"Actinobacteria"	"Coriobacteriia"	"Coriobacteriales"	"Atopobiaceae"	"Thermophilibacter"	"Thermophilibacter mediterraneus"
"txid1299998"	"Bacteria"	"Actinobacteria"	"Coriobacteriia"	"Coriobacteriales"	"Atopobiaceae"	"Tractidigestivibacter"	"Tractidigestivibacter scatoligenes"
"txid2603815"	"Bacteria"	"Actinobacteria"	"Coriobacteriia"	"Coriobacteriales"	"Coriobacteriaceae"	"Collinsella"	"Collinsella avium"
"txid1907654"	"Bacteria"	"Actinobacteria"	"Coriobacteriia"	"Coriobacteriales"	"Coriobacteriaceae"	"Collinsella"	"Collinsella bouchesdurhonensis"
"txid1720204"	"Bacteria"	"Actinobacteria"	"Coriobacteriia"	"Coriobacteriales"	"Coriobacteriaceae"	"Collinsella"	"Collinsella ihumii"
"txid147207"	"Bacteria"	"Actinobacteria"	"Coriobacteriia"	"Coriobacteriales"	"Coriobacteriaceae"	"Collinsella"	"Collinsella intestinalis"
"txid1871016"	"Bacteria"	"Actinobacteria"	"Coriobacteriia"	"Coriobacteriales"	"Coriobacteriaceae"	"Collinsella"	"Collinsella phocaeensis"
"txid1937461"	"Bacteria"	"Actinobacteria"	"Coriobacteriia"	"Coriobacteriales"	"Coriobacteriaceae"	"Collinsella"	"Collinsella provencensis"
"txid147206"	"Bacteria"	"Actinobacteria"	"Coriobacteriia"	"Coriobacteriales"	"Coriobacteriaceae"	"Collinsella"	"Collinsella stercoris"
"txid742742"	"Bacteria"	"Actinobacteria"	"Coriobacteriia"	"Coriobacteriales"	"Coriobacteriaceae"	"Collinsella"	"Collinsella tanakaei"
"txid1870987"	"Bacteria"	"Actinobacteria"	"Coriobacteriia"	"Coriobacteriales"	"Coriobacteriaceae"	"Collinsella"	"Collinsella vaginalis"
"txid33871"	"Bacteria"	"Actinobacteria"	"Coriobacteriia"	"Coriobacteriales"	"Coriobacteriaceae"	"Coriobacterium"	"Coriobacterium glomerans"
"txid1232426"	"Bacteria"	"Actinobacteria"	"Coriobacteriia"	"Coriobacteriales"	"Coriobacteriaceae"	"Enorma"	"Collinsella massiliensis"
"txid2590867"	"Bacteria"	"Actinobacteria"	"Coriobacteriia"	"Coriobacteriales"	"Coriobacteriaceae"	"Enorma"	"Enorma burkinafasonensis"
"txid1871019"	"Bacteria"	"Actinobacteria"	"Coriobacteriia"	"Coriobacteriales"	"Coriobacteriaceae"	"Enorma"	"Enorma phocaeensis"
"txid747645"	"Bacteria"	"Actinobacteria"	"Coriobacteriia"	"Coriobacteriales"	"Coriobacteriaceae"	"Parvibacter"	"Parvibacter caecicola"
"txid1034345"	"Bacteria"	"Actinobacteria"	"Coriobacteriia"	"Coriobacteriales"	"Coriobacteriaceae"	"Senegalimassilia"	"Senegalimassilia anaerobia"
"txid2707299"	"Bacteria"	"Actinobacteria"	"Coriobacteriia"	"Eggerthellales"	"Eggerthellaceae"	"Adlercreutzia"	"Adlercreutzia hattorii"
"txid2690837"	"Bacteria"	"Actinobacteria"	"Coriobacteriia"	"Eggerthellales"	"Eggerthellaceae"	"Eggerthella"	"Eggerthella guodeyinii"
"txid84112"	"Bacteria"	"Actinobacteria"	"Coriobacteriia"	"Eggerthellales"	"Eggerthellaceae"	"Eggerthella"	"Eggerthella lenta"
"txid1871008"	"Bacteria"	"Actinobacteria"	"Coriobacteriia"	"Eggerthellales"	"Eggerthellaceae"	"Eggerthella"	"Eggerthella timonensis"
"txid2137581"	"Bacteria"	"Actinobacteria"	"Coriobacteriia"	"Eggerthellales"	"Eggerthellaceae"	"Ellagibacter"	"Ellagibacter isourolithinifaciens"
"txid1841863"	"Bacteria"	"Actinobacteria"	"Coriobacteriia"	"Eggerthellales"	"Eggerthellaceae"	"Gordonibacter"	"Gordonibacter massiliensis"
"txid883106"	"Bacteria"	"Actinobacteria"	"Coriobacteriia"	"Eggerthellales"	"Eggerthellaceae"	"Paraeggerthella"	"Paraeggerthella hongkongensis"
"txid572010"	"Bacteria"	"Actinobacteria"	"Coriobacteriia"	"Eggerthellales"	"Eggerthellaceae"	"Slackia"	"Slackia isoflavoniconvertens"
"txid490573"	"Bacteria"	"Actinobacteria"	"Thermoleophilia"	"Solirubrobacterales"	"Solirubrobacteraceae"	"Solirubrobacter"	"Solirubrobacter ginsenosidimutans"
"txid1404360"	"Bacteria"	"Actinobacteria"	"Thermoleophilia"	"Solirubrobacterales"	"Solirubrobacteraceae"	"Solirubrobacter"	"Solirubrobacter phytolaccae"
"txid363832"	"Bacteria"	"Actinobacteria"	"Thermoleophilia"	"Solirubrobacterales"	"Solirubrobacteraceae"	"Solirubrobacter"	"Solirubrobacter soli"
"txid685828"	"Bacteria"	"Armatimonadetes"	"Armatimonadia"	"Armatimonadales"	"Armatimonadaceae"	"Armatimonas"	"Armatimonas rosea"
"txid2219043"	"Bacteria"	"Armatimonadetes"	"Armatimonadia"	"Capsulimonadales"	"Capsulimonadaceae"	"Capsulimonas"	"Capsulimonas corticalis"
"txid1005039"	"Bacteria"	"Armatimonadetes"	"Fimbriimonadia"	"Fimbriimonadales"	"Fimbriimonadaceae"	"Fimbriimonas"	"Fimbriimonas ginsengisoli"
"txid1841855"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	"Bacteroides bouchesdurhonensis"
"txid47678"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	"Bacteroides caccae"
"txid1411144"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	"Bacteroides caecigallinarum"
"txid246787"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	"Bacteroides cellulosilyticus"
"txid762984"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	"Bacteroides clarus"
"txid1871006"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	"Bacteroides congonensis"
"txid2024197"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	"Bacteroides cutis"
"txid28111"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	"Bacteroides eggerthii"
"txid1236513"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	"Bacteroides faecichinchillae"
"txid1077285"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	"Bacteroides faecis"
"txid338188"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	"Bacteroides finegoldii"
"txid763034"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	"Bacteroides fluxus"
"txid817"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	"Bacteroides fragilis"
"txid1462571"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	"Bacteroides gallinaceum"
"txid477666"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	"Bacteroides graminisolvens"
"txid290053"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	"Bacteroides helcogenes"
"txid28113"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	"Bacteroides heparinolyticus"
"txid2792859"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	"Bacteroides humanifaecis"
"txid1907658"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	"Bacteroides ilei"
"txid329854"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	"Bacteroides intestinalis"
"txid1912896"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	"Bacteroides koreensis"
"txid1912894"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	"Bacteroides kribbi"
"txid2650158"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	"Bacteroides luhongzhouii"
"txid1841856"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	"Bacteroides mediterraneensis"
"txid1903262"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	"Bacteroides ndongoniae"
"txid1203608"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	"Bacteroides nordii"
"txid28116"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	"Bacteroides ovatus"
"txid2834112"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	"Bacteroides propionicigenes"
"txid310300"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	"Bacteroides pyogenes"
"txid1445607"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	"Bacteroides reticulotermitis"
"txid1236512"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	"Bacteroides rodentium"
"txid291644"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	"Bacteroides salyersiae"
"txid1236514"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	"Bacteroides stercorirosoris"
"txid449673"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	"Bacteroides stercoris"
"txid818"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	"Bacteroides thetaiotaomicron"
"txid1203465"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	"Bacteroides timonensis"
"txid820"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	"Bacteroides uniformis"
"txid657309"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	"Bacteroides xylanisolvens"
"txid28119"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	"Bacteroides zoogleoformans"
"txid2725562"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Caecibacteroides"	"Caecibacteroides pullorum"
"txid1841865"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Mediterranea"	"Mediterranea massiliensis"
