"SequenceID"	"LibraryCode"	"LibraryTube"	"LibraryBarcode"	"ExtractID"	"SampVolPool"	"TotalPoolVol"	"BeadVol"	"Conc_QC2"	"reads_unclassified"	"FlowCellSerial"	"protocol_group_id"	"SeqRunID"	"SeqDate"	"SeqDateTime"	"SampleSet"	"LibPrepDate"	"LibPrepWorkflow"	"LibPrepKit"	"FlowCellType"	"FlongleAdapter"	"SeqDevice"	"strands"	"fragment_type"	"Length"	"InputMassStart"	"TemplateVolPrep"	"PoolSamples"	"InputMassFinal"	"ExtractDate"	"ExtractedBy"	"ExtractKit"	"SampleID"	"ExtractBox"	"ExtractNotes"	"ExtractConc"	"SampleCollectedBy"	"SampleNotes"	"Bristol"	"SampleTime"	"SampleStabilizer"	"CollectionDate"	"Subject"	"Subj_Certainty"
"IVY-36-MGE-L188"	"cm001"	29	29	"DNA1-IVY-36-MGE"	2	227	136.2	11	26241	"FAW97410"	"PL1_Run2"	"no_sample"	2023-12-21	2023-12-21 18:48:13.951103	"marmoset"	2023-12-21	"lsk16s"	"SQK-LSK114 EXP-PBC096"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	47	"yes"	50	2023-08-18	"SA"	"Quick-DNA Fecal/Soil Microbe"	"IVY-36-MGE"	"DNA Extracts 6"	""	3.4	"SA/GR"	""	2	800	"Molecular Grade (96%) Ethanol"	2023-04-14	"Ivy"	"yes"
"GRO-41-DRS-L189"	"cm001"	30	30	"DNA1-GRO-41-DRS"	9	227	136.2	2.12	24247	"FAW97410"	"PL1_Run2"	"no_sample"	2023-12-21	2023-12-21 18:48:13.951103	"marmoset"	2023-12-21	"lsk16s"	"SQK-LSK114 EXP-PBC096"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	47	"yes"	50	2023-08-18	"SA"	"Quick-DNA Fecal/Soil Microbe"	"GRO-41-DRS"	"DNA Extracts 6"	""	107	"SA"	""	2	800	"DNA/RNA Shield"	2023-04-19	"Grogu"	"yes"
"GRO-41-MGE-L190"	"cm001"	31	31	"DNA1-GRO-41-MGE"	2	227	136.2	8.3	27833	"FAW97410"	"PL1_Run2"	"no_sample"	2023-12-21	2023-12-21 18:48:13.951103	"marmoset"	2023-12-21	"lsk16s"	"SQK-LSK114 EXP-PBC096"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	47	"yes"	50	2023-08-18	"SA"	"Quick-DNA Fecal/Soil Microbe"	"GRO-41-MGE"	"DNA Extracts 6"	""	13	"SA"	""	2	800	"Molecular Grade (96%) Ethanol"	2023-04-19	"Grogu"	"yes"
"KOR-44-DRS-L191"	"cm001"	32	32	"DNA1-KOR-44-DRS"	2	227	136.2	13	13715	"FAW97410"	"PL1_Run2"	"no_sample"	2023-12-21	2023-12-21 18:48:13.951103	"marmoset"	2023-12-21	"lsk16s"	"SQK-LSK114 EXP-PBC096"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	47	"yes"	50	2023-08-18	"SA"	"Quick-DNA Fecal/Soil Microbe"	"KOR-44-DRS"	"DNA Extracts 6"	""	29	"SA"	""	3	730	"DNA/RNA Shield"	2023-04-22	"Korra"	"yes"
"KOR-44-MGE-L192"	"cm001"	33	33	"DNA1-KOR-44-MGE"	3	227	136.2	7.1	19314	"FAW97410"	"PL1_Run2"	"no_sample"	2023-12-21	2023-12-21 18:48:13.951103	"marmoset"	2023-12-21	"lsk16s"	"SQK-LSK114 EXP-PBC096"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	47	"yes"	50	2023-08-18	"SA"	"Quick-DNA Fecal/Soil Microbe"	"KOR-44-MGE"	"DNA Extracts 6"	""	11	"SA"	""	3	730	"Molecular Grade (96%) Ethanol"	2023-04-22	"Korra"	"yes"
"MAR-41-MGE-L202"	"cm001"	34	34	"DNA1-MAR-41-MGE"	5	227	136.2	4.21	19528	"FAW97410"	"PL1_Run2"	"no_sample"	2023-12-21	2023-12-21 18:48:13.951103	"marmoset"	2023-12-21	"lsk16s"	"SQK-LSK114 EXP-PBC096"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	47	"yes"	50	2023-08-29	"SA"	"Quick-DNA Fecal/Soil Microbe"	"MAR-41-MGE"	"DNA Extracts 6"	""	6.7	"SA"	""	3	800	"Molecular Grade (96%) Ethanol"	2023-04-19	"Marshmallow"	"yes"
"JAR-44-DRS-L203"	"cm001"	35	35	"DNA1-JAR-44-DRS"	2	227	136.2	8.8	20625	"FAW97410"	"PL1_Run2"	"no_sample"	2023-12-21	2023-12-21 18:48:13.951103	"marmoset"	2023-12-21	"lsk16s"	"SQK-LSK114 EXP-PBC096"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	47	"yes"	50	2023-08-29	"SA"	"Quick-DNA Fecal/Soil Microbe"	"JAR-44-DRS"	"DNA Extracts 6"	""	56	"SA"	""	2	730	"DNA/RNA Shield"	2023-04-22	"JarJar BINKS"	"yes"
"JAR-44-MGE-L204"	"cm001"	36	36	"DNA1-JAR-44-MGE"	10	227	136.2	1.97	22048	"FAW97410"	"PL1_Run2"	"no_sample"	2023-12-21	2023-12-21 18:48:13.951103	"marmoset"	2023-12-21	"lsk16s"	"SQK-LSK114 EXP-PBC096"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	47	"yes"	50	2023-08-29	"SA"	"Quick-DNA Fecal/Soil Microbe"	"JAR-44-MGE"	"DNA Extracts 6"	""	18	"SA"	""	2	730	"Molecular Grade (96%) Ethanol"	2023-04-22	"JarJar BINKS"	"yes"
"KUB-58-DRS-L205"	"cm001"	37	37	"DNA1-KUB-58-DRS"	16	227	136.2	1.2	12423	"FAW97410"	"PL1_Run2"	"no_sample"	2023-12-21	2023-12-21 18:48:13.951103	"marmoset"	2023-12-21	"lsk16s"	"SQK-LSK114 EXP-PBC096"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	47	"yes"	50	2023-08-29	"SA"	"Quick-DNA Fecal/Soil Microbe"	"KUB-58-DRS"	"DNA Extracts 6"	""	33	"SA"	""	2	730	"DNA/RNA Shield"	2023-05-06	"Kubo"	"yes"
"KUB-58-MGE-L206"	"cm001"	38	38	"DNA1-KUB-58-MGE"	6	227	136.2	3.05	18119	"FAW97410"	"PL1_Run2"	"no_sample"	2023-12-21	2023-12-21 18:48:13.951103	"marmoset"	2023-12-21	"lsk16s"	"SQK-LSK114 EXP-PBC096"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	47	"yes"	50	2023-08-29	"SA"	"Quick-DNA Fecal/Soil Microbe"	"KUB-58-MGE"	"DNA Extracts 6"	""	4.8	"SA"	""	2	730	"Molecular Grade (96%) Ethanol"	2023-05-05	"Kubo"	"yes"
"KUB-58-MGE-L206"	"cm001"	38	38	"DNA1-KUB-58-MGE"	6	227	136.2	3.05	18119	"FAW97410"	"PL1_Run2"	"no_sample"	2023-12-21	2023-12-21 18:48:13.951103	"marmoset"	2023-12-21	"lsk16s"	"SQK-LSK114 EXP-PBC096"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	47	"yes"	50	2023-08-29	"SA"	"Quick-DNA Fecal/Soil Microbe"	"KUB-58-MGE"	"DNA Extracts 6"	""	4.8	"SA"	""	2	730	"Molecular Grade (96%) Ethanol"	2023-05-06	"Kubo"	"yes"
"HAM-67-DRS-L207"	"cm001"	39	39	"DNA1-HAM-67-DRS"	6	227	136.2	3.25	19502	"FAW97410"	"PL1_Run2"	"no_sample"	2023-12-21	2023-12-21 18:48:13.951103	"marmoset"	2023-12-21	"lsk16s"	"SQK-LSK114 EXP-PBC096"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	47	"yes"	50	2023-08-29	"SA"	"Quick-DNA Fecal/Soil Microbe"	"HAM-67-DRS"	"DNA Extracts 6"	""	28	"SA/GR"	""	2	730	"DNA/RNA Shield"	2023-05-15	"Hamlet"	"yes"
"HAM-67-MGE-L208"	"cm001"	40	40	"DNA1-HAM-67-MGE"	8	227	136.2	2.35	26111	"FAW97410"	"PL1_Run2"	"no_sample"	2023-12-21	2023-12-21 18:48:13.951103	"marmoset"	2023-12-21	"lsk16s"	"SQK-LSK114 EXP-PBC096"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	47	"yes"	50	2023-08-29	"SA"	"Quick-DNA Fecal/Soil Microbe"	"HAM-67-MGE"	"DNA Extracts 6"	""	19	"SA/GR"	""	2	730	"Molecular Grade (95%) Ethanol"	2023-05-15	"Hamlet"	"yes"
"MAR-70-DRS-L209"	"cm001"	41	41	"DNA1-MAR-70-DRS"	4	227	136.2	4.68	13534	"FAW97410"	"PL1_Run2"	"no_sample"	2023-12-21	2023-12-21 18:48:13.951103	"marmoset"	2023-12-21	"lsk16s"	"SQK-LSK114 EXP-PBC096"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	47	"yes"	50	2023-08-29	"SA"	"Quick-DNA Fecal/Soil Microbe"	"MAR-70-DRS"	"DNA Extracts 6"	""	30	"SA"	""	2	730	"DNA/RNA Shield"	2023-05-18	"Marshmallow"	"yes"
"GRO-36-MGE-L214"	"cm001"	42	42	"DNA1-GRO-36-MGE"	2	227	136.2	9.2	19662	"FAW97410"	"PL1_Run2"	"no_sample"	2023-12-21	2023-12-21 18:48:13.951103	"marmoset"	2023-12-21	"lsk16s"	"SQK-LSK114 EXP-PBC096"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	47	"yes"	50	2023-08-30	"SA/SK"	"Quick-DNA Fecal/Soil Microbe"	"GRO-36-MGE"	"DNA Extracts 6"	""	23	"SA/GR"	""	2	800	"Molecular Grade (96%) Ethanol"	2023-04-14	"Grogu"	"yes"
"KOR-58-MGE-L215"	"cm001"	43	43	"DNA1-KOR-58-MGE"	6	227	136.2	3.33	27324	"FAW97410"	"PL1_Run2"	"no_sample"	2023-12-21	2023-12-21 18:48:13.951103	"marmoset"	2023-12-21	"lsk16s"	"SQK-LSK114 EXP-PBC096"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	47	"yes"	50	2023-09-15	"SA"	"Quick-DNA Fecal/Soil Microbe"	"KOR-58-MGE"	"DNA Extracts 6"	""	14	"SA"	""	3	730	"Molecular Grade (96%) Ethanol"	2023-05-06	"Korra"	"yes"
