"ID"	"lambchop17"	"lambchop18"	"lambchop25"	"lambchop37"	"lambchop44"	"lambchop46"	"lambchop48"	"lambchop50"	"lambchop55"	"lambchop70"
"fpt34"	1.39	0.89	1.5	0.01	0.03	0.13	0.01	0.26	0.5	0.01
"fpt35"	0	0	0	0	0.04	0.06	0	0	0	0.01
"fpt36"	22.71	27.8	54.04	20.19	48.39	63.62	28.8	54.98	70.41	73.33
"fpt37"	1.37	0.89	1.5	0.03	0.11	0.2	0.01	0.17	0.51	0.03
"fpt38"	16.7	15.65	25.49	8.33	12.44	18.93	13.83	18.11	14.7	2.67
"fpt39"	21.28	26.47	33.87	11.59	21.68	30.76	22.5	30.74	17.94	3.89
"fpt40"	0	0	0	0.01	0.09	0.19	0	0.09	0.2	0.01
"fpt41"	0.04	0	0.03	0.06	0.07	0.09	0.04	0.13	0.07	0.07
"fpt42"	46.6	27.81	26.75	11.88	12.47	18.97	13.94	18.06	14.93	4.62
"fpt43"	0.03	0	0	0	0	0	0	0	0	0
"fpt44"	1.37	0.89	1.5	0.01	0.03	0.11	0.01	0.16	0.5	0.01
"fpt45"	21.28	26.45	52.46	19.96	48.25	63.37	28.44	54.44	69.83	73.23
"fpt46"	0.95	1.6	0.01	0	0.03	0.04	0	0.07	0.06	0.01
"fpt47"	0.95	1.6	0.03	0.97	0.6	1.31	0.39	0.41	1.17	0.87
"fpt48"	2.32	2.49	1.51	0.01	0.1	0.17	0.01	0.16	0.54	0.03
"fpt49"	39.88	18.35	2.52	1.89	0.19	0.34	0.2	0.8	1.16	2.04
"fpt50"	1.37	0.89	1.5	0.01	0.03	0.11	0.01	0.16	0.5	0.01
"fpt51"	1.37	0.89	1.5	0.01	0.03	0.11	0.01	0.16	0.5	0.01
"fpt52"	0	0	0	0.11	0.03	0	0.04	0	0	0
"fpt53"	68.85	28.97	3.76	6.2	0.41	0.79	0.3	0.97	1.61	4.09
"fpt54"	0	0	0	0.06	0.1	0.1	0.01	0.03	0.09	0.06
"fpt55"	0.04	0.03	0.01	1.54	0.76	1.73	0.66	0.69	1.47	0.99
"fpt56"	1.37	0.89	1.5	0.01	0.03	0.11	0.01	0.16	0.5	0.01
"fpt57"	0	0	0	0	0.04	0.06	0	0	0	0.01
"fpt58"	16.65	15.61	25.49	8.33	12.41	18.86	13.81	17.88	14.69	2.67
"fpt59"	0.95	1.6	0.01	0	0.03	0	0	0	0.04	0
"fpt60"	0.95	1.6	0.01	0	0.03	0	0	0	0.04	0
"fpt61"	0.95	1.6	0.01	0	0.03	0	0	0	0.04	0
"fpt62"	0.95	1.6	0.01	0	0.03	0	0	0	0.04	0
"fpt63"	2.33	2.49	1.56	0.24	0.37	0.66	0.11	0.47	1.04	0.29
"fpt64"	0.03	0.06	0	0	0.04	0.13	0	0.26	0.01	0
"fpt65"	0	0	0	0	0	0	0.01	0	0	0
"fpt66"	0	0	0.01	0.9	0.5	1.13	0.39	0.24	1.1	0.81
"fpt67"	0.03	0.03	0	0	0.03	0.09	0	0.14	0	0
"fpt68"	0.95	1.6	0.01	0	0.03	0	0	0	0.04	0
"fpt69"	0.95	1.6	0.01	0	0.07	0.06	0	0	0.04	0.01
"fpt70"	1.37	0.89	1.5	0.01	0.03	0.11	0.01	0.16	0.5	0.01
"fpt71"	22.53	26.61	34.52	10.26	20.56	29.58	21.86	29.61	18.17	3.67
"fpt72"	0	0	0	0.07	0.07	0.04	0	0.03	0.03	0.03
"fpt73"	0	0	0	0.07	0.07	0.04	0	0.03	0.03	0.03
"fpt74"	0	0	0	0.01	0.07	0.07	0.01	0.01	0	0.01
"fpt75"	0.03	0.01	0	0	0.01	0.01	0	0.01	0	0
"fpt76"	0.95	1.61	0.01	0	0.04	0.09	0.01	0.13	0.04	0
"fpt77"	0.95	1.6	0.01	0	0.03	0.01	0	0	0.04	0
"fpt78"	0.95	1.6	0.03	0.9	0.49	1.07	0.39	0.24	1.09	0.77
"fpt79"	0	0	0	0.01	0.13	0.24	0	0.07	0.2	0.03
"fpt80"	2.32	2.49	1.51	0.01	0.06	0.11	0.01	0.16	0.54	0.01
"fpt81"	0.95	1.6	0.01	0	0.03	0	0	0	0.04	0
"fpt82"	1.37	0.89	1.5	0.01	0.03	0.11	0.01	0.16	0.5	0.01
"fpt83"	0.07	0.41	0.09	0.13	0.06	0.07	0.26	0.2	0.01	0.01
"fpt84"	61.13	44.79	36.34	11.24	21.31	29.8	21.96	31.03	17.84	4.97
"fpt85"	0.95	1.6	0.01	0	0.03	0	0	0	0.04	0
"fpt86"	1.39	0.89	1.51	0.01	0.04	0.14	0.01	0.17	0.51	0.01
"fpt87"	0	0	0.01	0.9	0.46	1.07	0.39	0.24	1.04	0.77
"fpt88"	0.95	1.6	0.01	0	0.03	0	0	0	0.04	0
"fpt89"	0.95	1.6	0.01	0	0.03	0	0	0	0.04	0
"fpt90"	0.11	0.71	19.45	10.34	28.33	35.48	7.23	25.41	53.44	70.54
"fpt91"	0	0	0	0	0	0.04	0	0.07	0.01	0.01
"fpt92"	0.95	1.6	0.01	0	0.03	0	0	0	0.04	0
"fpt93"	1.37	0.89	1.5	0.01	0.03	0.11	0.01	0.16	0.5	0.01
"fpt94"	0.95	1.6	0.01	0	0.03	0	0	0	0.04	0
"fpt95"	0.95	1.6	0.01	0	0.03	0	0	0	0.04	0
"fpt96"	0.95	1.6	0.01	0	0.03	0	0	0	0.04	0
"fpt97"	21.31	26.5	52.46	19.3	48.28	63.45	28.49	54.79	69.89	73.21
"fpt98"	0	0	0	0.04	0.06	0.04	0	0.03	0.03	0.01
"fpt99"	0.95	1.6	0.01	0	0.03	0.04	0	0.07	0.06	0.01
"fpt100"	22.68	27.35	53.96	19.31	48.28	63.47	28.5	54.74	70.37	73.23
"fpt101"	0	0	0.01	1.46	0.56	1.27	0.66	0.29	1.17	0.87
"fpt102"	4.64	10.89	8.35	3.59	9.15	12.04	8.87	12.99	3.23	1.16
"fpt103"	1.37	0.89	1.5	0.14	0.07	0.17	0.17	0.16	0.5	0.03
"fpt104"	1.37	0.89	1.5	0.01	0.03	0.11	0.01	0.16	0.5	0.01
"fpt105"	0.95	1.6	0.01	0	0.03	0	0	0	0.04	0
"fpt106"	0.95	1.63	0.03	1.46	0.73	1.66	0.66	0.5	1.56	0.97
"fpt107"	0	0	0	0.11	0.07	0.07	0.04	0	0.03	0.01
"fpt108"	0	0	0	0	0.04	0.06	0	0	0	0.01
"fpt109"	0	0	0	0.01	0.09	0.19	0	0.07	0.2	0.01
"fpt110"	1.37	0.89	1.5	0.01	0.13	0.36	0.01	0.23	0.66	0.14
"fpt111"	2.36	2.54	1.51	0.04	0.16	0.37	0.01	0.6	0.59	0.06
"fpt112"	1.53	1.2	1.51	0.81	0.03	0.11	0.01	0.17	0.5	0.11
"fpt113"	1.37	0.89	1.5	0.01	0.03	0.11	0.01	0.16	0.5	0.01
"fpt114"	22.63	27.33	35.32	9.21	21.01	29.52	21.76	30.44	17.11	2.9
"fpt115"	0.1	0.71	0.81	0.4	1.04	1.36	0.56	1.19	0.19	0.17
"fpt116"	0.01	0	0.01	0	0.01	0.03	0	0.01	0.01	0
"fpt117"	0.97	1.66	0.01	0	0.07	0.17	0	0.33	0.07	0.01
"fpt118"	0	0	0	0.07	0.11	0.1	0	0.03	0.03	0.04
"fpt119"	1.37	0.89	1.5	0.01	0.03	0.11	0.01	0.16	0.5	0.01
"fpt120"	0	0	0	0	0.04	0.06	0	0	0	0.01
"fpt121"	0.96	1.6	0.03	0.17	0.1	0.07	0.16	0.04	0.09	0.01
"fpt122"	0	0	0	0.07	0.07	0.04	0	0.03	0.03	0.03
"fpt123"	22.25	28.46	33.91	9.29	21.19	29.72	21.97	30.46	16.83	3.02
"fpt124"	1.37	0.89	1.5	0.01	0.07	0.17	0.01	0.16	0.5	0.03
"fpt125"	2.33	2.49	1.53	0.04	0.09	0.16	0.01	0.19	0.57	0.03
"fpt126"	0.01	0	0.01	0	0.01	0.03	0	0.01	0.01	0
"fpt127"	0.01	0	0	0	0	0.01	0	0.1	0	0
"fpt128"	21.31	26.47	52.46	19.26	48.28	63.57	28.46	54.75	69.87	73.24
"fpt129"	1.37	0.89	1.5	0.01	0.03	0.11	0.01	0.16	0.5	0.01
"fpt130"	0	0	0	0.11	0.03	0	0.04	0	0	0
"fpt131"	4.64	10.89	8.36	4.55	9.84	13.49	9.23	13.29	4.51	2.03
"fpt132"	0	0	0	0.01	0.04	0.03	0	0.01	0.01	0
"fpt133"	56.41	33.16	45.78	17.86	38.2	50.46	19.77	40.92	67.6	74.33
"fpt134"	21.31	26.47	52.47	19.21	48.21	63.34	28.44	54.57	69.8	73.17
"fpt135"	1.37	0.89	1.5	0.01	0.03	0.11	0.01	0.16	0.5	0.01
"fpt136"	0	0	0	0.04	0	0	0.01	0.01	0	0.01
"fpt137"	0.95	1.6	0.01	0	0.03	0	0	0	0.04	0
"fpt138"	0.95	1.6	0.01	0.04	0.03	0	0.01	0.01	0.04	0.01
"fpt139"	0.95	1.6	0.01	0	0.03	0	0	0	0.04	0
"fpt140"	0.95	1.6	0.01	0	0.03	0	0	0	0.04	0
"fpt141"	1.39	0.89	1.51	0.01	0.04	0.14	0.01	0.17	0.51	0.01
"fpt142"	1.37	0.89	1.5	0.01	0.03	0.11	0.01	0.16	0.5	0.01
"fpt143"	1.37	0.89	1.5	0.01	0.03	0.11	0.01	0.16	0.5	0.01
"fpt144"	21.29	26.48	33.84	11.49	21.66	30.8	22.46	30.73	17.86	3.79
"fpt145"	1.37	0.9	1.5	0.01	0.04	0.14	0.01	0.23	0.51	0.01
"fpt146"	0	0	0	0	0.04	0.06	0	0	0	0.01
"fpt147"	0.97	1.61	0.01	0	0.04	0.11	0.01	0.2	0.06	0.01
"fpt148"	0	0	0.01	1.46	0.51	1.2	0.66	0.29	1.14	0.84
"fpt149"	0	0	0	0.07	0.07	0.04	0	0.03	0.03	0.03
"fpt150"	0	0	0	0.09	0.16	0.27	0	0.1	0.1	0.1
