"Taxa"	"grogu22"	"grogu36"	"grogu37"	"grogu41"	"grogu45"	"grogu50"	"grogu56"	"grogu70"
"Cellular Processes|Cell motility"	0.00445055104601771	0.00775323778937731	0.00797192844410623	0.0101753077022412	0.00325691522039862	0.00448382115343095	0.00556270283081367	0.00928949419292755
"Human Diseases|Infectious diseases: Bacterial"	0.00563555694469068	0.00630500149767986	0.00513534606351926	0.00595207028810961	0.00432457891409122	0.00474702554450376	0.00526416716754552	0.00623991036894891
"Organismal Systems|Endocrine system"	0.00383511463365911	0.00443229689549962	0.00377497200264357	0.00445994275089447	0.00395356542854504	0.00366677223464186	0.00391805588472958	0.0040215103208043
"Cellular Processes|Transport and catabolism"	0.00286391021148094	0.00460476167481322	0.00234305691444111	0.00329798515410526	0.00126486332274779	0.00147102448797047	0.00279491017125966	0.00282043559268368
"Human Diseases|Cancers: Overview"	0.00248266454783611	0.00278362964867316	0.00231571593789916	0.00288705903232434	0.00243954338453619	0.00229708440296347	0.00243297178660795	0.00281914997096501
"Human Diseases|Drug resistance: Antineoplastic"	0.00216411818998117	0.00210861871185956	0.00201504005908348	0.00250825410219962	0.00211931035886238	0.00209264219693219	0.00196634711385399	0.0024653559606158
"Organismal Systems|Immune system"	0.00157843590670107	0.002266355543981	0.00162106160453756	0.00200314543915138	0.00150683909132326	0.00134510419327277	0.00174077778793811	0.00171246355208109
"Organismal Systems|Aging"	0.001518067145497	0.00204157745651914	0.0015984473595941	0.00209580176229758	0.00150793306386325	0.00134618448355342	0.00154485982019466	0.00194683163861568
"Human Diseases|Endocrine and metabolic diseases"	0.00154720020409172	0.00169197171757862	0.0014139691709849	0.00188771535204938	0.00159796111858574	0.00148661648903105	0.00143226407242285	0.00180808996476702
"Organismal Systems|Environmental adaptation"	0.00121320692881505	0.00165782133531839	0.00135817117299001	0.00177329881098432	0.000926770408781182	0.00102206773716653	0.00128712911936669	0.00154934584484645
"Human Diseases|Cardiovascular diseases"	0.0012330784788431	0.00178004132834266	0.00113350209397794	0.00163745259156343	0.000937042400911922	0.00090519997287272	0.00123325613554464	0.00144941664337543
"Genetic Information Processing|Transcription"	0.00125722944630417	0.000918080877410622	0.00109613317251031	0.000996088617006539	0.00140215819883516	0.00132465338602291	0.00115607078807061	0.00107487941728872
"Organismal Systems|Nervous system"	0.00116194052792301	0.00136409299886466	0.000974121642258494	0.00124009705684799	0.000753646627441434	0.000829720352558027	0.00106520818209472	0.00115640116539774
"Human Diseases|Neurodegenerative diseases"	0.000486821321890582	0.00105143313350444	0.000722661379523363	0.00151722911022514	0.000489893541517515	0.000422667126329615	0.000511151379202878	0.00133644080132928
"Human Diseases|Cancers: Specific types"	0.00057962849469855	0.000702334119040611	0.000627644650132265	0.000842686072556073	0.000568653453548099	0.000584015665784838	0.000550232993003678	0.000831597593514046
"Organismal Systems|Digestive system"	0.000432500329635822	0.000682496238981142	0.000555077572952742	0.000706085012065975	0.000422580059717823	0.000391521708232435	0.000524643885543237	0.000529200733451866
"Human Diseases|Infectious diseases: Viral"	0.000303394605321981	0.000500745507789291	0.000382317059492441	0.000741344948908221	0.000335534376781851	0.000302421232249742	0.000301806652197524	0.000649738121840586
"Organismal Systems|Excretory system"	0.000329130900424674	0.000214547053478784	0.000244178361710315	0.000169715442280846	9.91010343303426e-05	0.000240635812008968	0.000261773284837446	0.000231315375577009
"Human Diseases|Infectious diseases: Parasitic"	0.000112502428774923	0.000329833913755893	0.000159152676616297	0.000387506746070443	7.43506258027564e-05	5.96446441842731e-05	0.000124718906117909	0.000312547308233004
"Human Diseases|Immune diseases"	0.000162629732628853	0.000268278620324293	0.000169416360809568	0.000249886041382945	0.000182491807788065	0.000126510757719132	0.000183457030192982	0.000206103368316506
"Human Diseases|Substance dependence"	4.29304615097021e-05	0.000165566806428882	0.000132627230513581	0.00029143493915474	5.18994457581609e-05	5.32876655328408e-05	6.09402205455601e-05	0.000211128472050786
"Organismal Systems|Circulatory system"	2.21576575533946e-05	0.000135306432485524	6.95749405972884e-05	0.000247519761183546	4.05993715964961e-05	1.84681909312448e-05	2.6257201135386e-05	0.000198035233473993
"Environmental Information Processing|Signaling molecules and interaction"	3.11130441478916e-05	6.18955269864252e-05	5.86003219911686e-05	0.000101511484252051	2.29146772864659e-05	2.8287303625124e-05	4.2534053182496e-05	8.06155078743818e-05
"Metabolism|Chemical structure transformation maps"	7.38588585113153e-06	4.44504782005675e-05	2.31916468657628e-05	8.17257676252718e-05	1.29028139868316e-05	5.88840870271573e-06	8.62176753699242e-06	6.57740784445575e-05
"Organismal Systems|Development"	1.29253002394802e-05	1.94206255947718e-05	8.23096395458993e-06	1.44154140620191e-05	3.63090270442245e-06	4.49277936733181e-06	1.56759409763499e-05	6.30239427604646e-06
