superkingdom	phylum	class	order	family	genus	species	taxid	accession	label
Bacteria	Acidobacteria	Blastocatellia	Blastocatellales	Blastocatellaceae	Blastocatella	Blastocatella fastidiosa	txid1235480	NR_118350.1	NR_118350.1 Blastocatella fastidiosa strain A2-16 16S ribosomal RNA, partial sequence
Bacteria	Acidobacteria	Blastocatellia	Blastocatellales	Blastocatellaceae	Stenotrophobacter	Stenotrophobacter namibiensis	txid1603871	NR_146021.1	NR_146021.1 Stenotrophobacter namibiensis strain Ac_17_F2 16S ribosomal RNA, partial sequence
Bacteria	Acidobacteria	Blastocatellia	Blastocatellales	Blastocatellaceae	Stenotrophobacter	Stenotrophobacter terrae	txid1458337	NR_146023.1	NR_146023.1 Stenotrophobacter terrae strain Ac_28_D10 16S ribosomal RNA, partial sequence
Bacteria	Acidobacteria	Holophagae	Acanthopleuribacterales	Acanthopleuribacteraceae	Sulfidibacter	Sulfidibacter corallicola	txid2818388	NR_181039.1	NR_181039.1 Sulfidibacter corallicola strain M133 16S ribosomal RNA, partial sequence
Bacteria	Acidobacteria	Holophagae	Holophagales	Holophagaceae	Holophaga	Holophaga foetida	txid35839	NR_036891.1	NR_036891.1 Holophaga foetida strain TMBS4 16S ribosomal RNA, partial sequence
Bacteria	Acidobacteria	Vicinamibacteria	Vicinamibacterales	Vicinamibacteraceae	Luteitalea	Luteitalea pratensis	txid1855912	NR_156918.1	NR_156918.1 Luteitalea pratensis strain HEG_-6_39 16S ribosomal RNA, partial sequence
Bacteria	Acidobacteria	Vicinamibacteria	Vicinamibacterales	Vicinamibacteraceae	Vicinamibacter	Vicinamibacter silvestris	txid1612172	NR_151905.1	NR_151905.1 Vicinamibacter silvestris strain Ac_5_C6 16S ribosomal RNA, partial sequence
Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	Acidiferrimicrobium	Acidiferrimicrobium australe	txid2664430	NR_170414.1	NR_170414.1 Acidiferrimicrobium australe strain USS-CCA1 16S ribosomal RNA, partial sequence
Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	Aciditerrimonas	Aciditerrimonas ferrireducens	txid1294026	NR_112972.1	NR_112972.1 Aciditerrimonas ferrireducens JCM 15389 strain IC-180 16S ribosomal RNA, partial sequence
Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Iamiaceae	Actinomarinicola	Actinomarinicola tropica	txid2789776	NR_171428.1	NR_171428.1 Actinomarinicola tropica strain SCSIO 58843 16S ribosomal RNA, partial sequence
Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Iamiaceae	Aquihabitans	Aquihabitans daechungensis	txid1052257	NR_132289.1	NR_132289.1 Aquihabitans daechungensis strain CH22-21 16S ribosomal RNA, partial sequence
Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Iamiaceae	Rhabdothermincola	Rhabdothermincola sediminis	txid2751370	NR_173681.1	NR_173681.1 Rhabdothermincola sediminis strain SYSU G02662 16S ribosomal RNA, partial sequence
Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Ilumatobacteraceae	Ilumatobacter	Ilumatobacter fluminis	txid1331058	NR_041633.1	NR_041633.1 Ilumatobacter fluminis YM22-133 16S ribosomal RNA, partial sequence
Bacteria	Actinobacteria	Actinomycetia	Acidothermales	Acidothermaceae	Acidothermus	Acidothermus cellulolyticus	txid28049	NR_074501.1	NR_074501.1 Acidothermus cellulolyticus strain 11B 16S ribosomal RNA, partial sequence
Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces oralis	txid2060916	NR_179571.1	NR_179571.1 Actinomyces oralis strain Marseille-P3109 16S ribosomal RNA, partial sequence
Bacteria	Actinobacteria	Actinomycetia	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium aerophilum	txid1798155	NR_137394.1	NR_137394.1 Bifidobacterium aerophilum strain TRE 17 16S ribosomal RNA, partial sequence
Bacteria	Actinobacteria	Actinomycetia	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium breve	txid518634	NR_040783.1	NR_040783.1 Bifidobacterium breve DSM 20213 = JCM 1192 16S ribosomal RNA, partial sequence
Bacteria	Actinobacteria	Actinomycetia	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium callitrichos	txid1437609	NR_113172.1	NR_113172.1 Bifidobacterium callitrichos DSM 23973 strain AFB22-5 16S ribosomal RNA, partial sequence
Bacteria	Actinobacteria	Actinomycetia	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium cebidarum	txid2650773	NR_174313.1	NR_174313.1 Bifidobacterium cebidarum strain CCUG 73785 16S ribosomal RNA, partial sequence
Bacteria	Actinobacteria	Actinomycetia	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium longum	txid1682	NR_043437.1	NR_043437.1 Bifidobacterium longum subsp. infantis strain ATCC 15697 16S ribosomal RNA, partial sequence
Bacteria	Actinobacteria	Actinomycetia	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium miconisargentati	txid2834437	NR_181805.1	NR_181805.1 Bifidobacterium miconisargentati strain 82T25 16S ribosomal RNA, partial sequence
Bacteria	Actinobacteria	Actinomycetia	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium oedipodis	txid2675322	NR_180954.1	NR_180954.1 Bifidobacterium oedipodis strain VB24 16S ribosomal RNA, partial sequence
Bacteria	Actinobacteria	Actinomycetia	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium pongonis	txid2834432	NR_181797.1	NR_181797.1 Bifidobacterium pongonis strain 64T4 16S ribosomal RNA, partial sequence
Bacteria	Actinobacteria	Actinomycetia	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium pseudocatenulatum	txid28026	NR_037117.1	NR_037117.1 Bifidobacterium pseudocatenulatum strain B1279 16S ribosomal RNA, partial sequence
Bacteria	Actinobacteria	Actinomycetia	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium pseudolongum	txid1690	NR_043441.2	NR_043441.2 Bifidobacterium pseudolongum subsp. globosum strain RU 224 16S ribosomal RNA, partial sequence
Bacteria	Actinobacteria	Actinomycetia	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium pullorum	txid78257	NR_029137.1	NR_029137.1 Bifidobacterium pullorum subsp. saeculare strain RA161 16S ribosomal RNA, partial sequence
Bacteria	Actinobacteria	Actinomycetia	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium samirii	txid2306974	NR_180397.1	NR_180397.1 Bifidobacterium samirii strain LMG 30940 16S ribosomal RNA, partial sequence
Bacteria	Actinobacteria	Actinomycetia	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium santillanense	txid2809028	NR_181803.1	NR_181803.1 Bifidobacterium santillanense strain 82T1 16S ribosomal RNA, partial sequence
Bacteria	Actinobacteria	Actinomycetia	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium simiiventris	txid2834434	NR_181800.1	NR_181800.1 Bifidobacterium simiiventris strain 81T8 16S ribosomal RNA, partial sequence
Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium casei	txid1285583	NR_122062.1	NR_122062.1 Corynebacterium casei LMG S-19264 16S ribosomal RNA, partial sequence
Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium dentalis	txid2014528	NR_179631.1	NR_179631.1 Corynebacterium dentalis strain Marseille-P4122 16S ribosomal RNA, partial sequence
Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium faecale	txid1758466	NR_149764.1	NR_149764.1 Corynebacterium faecale strain YIM 101505 16S ribosomal RNA, partial sequence
Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium frankenforstense	txid1437875	NR_104995.1	NR_104995.1 Corynebacterium frankenforstense DSM 45800 strain ST18 16S ribosomal RNA, partial sequence
Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium glutamicum	txid1718	NR_074663.1	NR_074663.1 Corynebacterium glutamicum strain ATCC 13032 16S ribosomal RNA, partial sequence
Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium stationis	txid1705	NR_116558.1	NR_116558.1 Corynebacterium stationis strain ATCC 14403 16S ribosomal RNA, partial sequence
Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium variabile	txid1727	NR_025314.1	NR_025314.1 Corynebacterium variabile strain DSM 20132 16S ribosomal RNA, partial sequence
Bacteria	Actinobacteria	Actinomycetia	Frankiales	Frankiaceae	Frankia	Frankia alni	txid326424	NR_153674.1	NR_153674.1 Frankia alni ACN14a 16S ribosomal RNA, complete sequence
Bacteria	Actinobacteria	Actinomycetia	Geodermatophilales	Geodermatophilaceae	Blastococcus	Blastococcus aggregatus	txid38502	NR_114864.1	NR_114864.1 Blastococcus aggregatus strain DSM 4725 16S ribosomal RNA, partial sequence
Bacteria	Actinobacteria	Actinomycetia	Geodermatophilales	Geodermatophilaceae	Blastococcus	Blastococcus tunisiensis	txid1564166	NR_179401.1	NR_179401.1 Blastococcus tunisiensis strain BMG 823 16S ribosomal RNA, partial sequence
Bacteria	Actinobacteria	Actinomycetia	Jatrophihabitantales	Jatrophihabitantaceae	Jatrophihabitans	Jatrophihabitans soli	txid1610748	NR_135866.1	NR_135866.1 Jatrophihabitans soli strain KIS75-12 16S ribosomal RNA, partial sequence
Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Brevibacteriaceae	Brevibacterium	Brevibacterium senegalense	txid1033736	NR_118221.1	NR_118221.1 Brevibacterium senegalense strain JC43 16S ribosomal RNA, partial sequence
Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Intrasporangiaceae	Lapillicoccus	Lapillicoccus jejuensis	txid402171	NR_042559.1	NR_042559.1 Lapillicoccus jejuensis strain R-Ac013 16S ribosomal RNA, partial sequence
Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Microbacteriaceae	Leucobacter	Leucobacter massiliensis	txid1686285	NR_179411.1	NR_179411.1 Leucobacter massiliensis strain 122RC15 16S ribosomal RNA, partial sequence
Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium rhizomatis	txid1631477	NR_137247.1	NR_137247.1 Microbacterium rhizomatis strain DCY100 16S ribosomal RNA, partial sequence
Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Microbacteriaceae	Rathayibacter	Rathayibacter tritici	txid33888	NR_115032.1	NR_115032.1 Rathayibacter tritici strain DSM 7486 16S ribosomal RNA, partial sequence
Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Micrococcaceae	Glutamicibacter	Glutamicibacter arilaitensis	txid861360	NR_074608.1	NR_074608.1 Glutamicibacter arilaitensis Re117 16S ribosomal RNA, partial sequence
Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Micrococcaceae	Glutamicibacter	Glutamicibacter creatinolyticus	txid162496	NR_036769.1	NR_036769.1 Glutamicibacter creatinolyticus strain GIFU 12498 16S ribosomal RNA, partial sequence
Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Micrococcaceae	Glutamicibacter	Glutamicibacter halophytocola	txid1933880	NR_156872.1	NR_156872.1 Glutamicibacter halophytocola strain KLBMP 5180 16S ribosomal RNA, partial sequence
Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Micrococcaceae	Glutamicibacter	Glutamicibacter mysorens	txid257984	NR_025613.1	NR_025613.1 Glutamicibacter mysorens strain DSM 12798 16S ribosomal RNA, partial sequence
Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Micrococcaceae	Glutamicibacter	Glutamicibacter nicotianae	txid37929	NR_026190.1	NR_026190.1 Glutamicibacter nicotianae strain DSM 20123 16S ribosomal RNA, partial sequence
Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Micrococcaceae	Glutamicibacter	Glutamicibacter soli	txid453836	NR_044338.1	NR_044338.1 Glutamicibacter soli strain SYB2 16S ribosomal RNA, partial sequence
Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Micrococcaceae	Kocuria	Kocuria carniphila	txid262208	NR_027193.1	NR_027193.1 Kocuria carniphila strain CCM 132 16S ribosomal RNA, partial sequence
Bacteria	Actinobacteria	Actinomycetia	Micromonosporales	Micromonosporaceae	Micromonospora	Micromonospora avicenniae	txid1198245	NR_109650.1	NR_109650.1 Micromonospora avicenniae strain 268506 16S ribosomal RNA, partial sequence
Bacteria	Actinobacteria	Actinomycetia	Propionibacteriales	Nocardioidaceae	Flindersiella	Flindersiella endophytica	txid648751	NR_108388.1	NR_108388.1 Flindersiella endophytica strain EUM 378 16S ribosomal RNA, partial sequence
Bacteria	Actinobacteria	Actinomycetia	Propionibacteriales	Nocardioidaceae	Friedmanniella	Friedmanniella luteola	txid546871	NR_112794.1	NR_112794.1 Friedmanniella luteola strain FA1 16S ribosomal RNA, partial sequence
Bacteria	Actinobacteria	Actinomycetia	Propionibacteriales	Nocardioidaceae	Propionicicella	Propionicicella superfundia	txid348582	NR_043609.1	NR_043609.1 Propionicicella superfundia strain BL-10 16S ribosomal RNA, partial sequence
Bacteria	Actinobacteria	Actinomycetia	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes	txid1747	NR_040847.1	NR_040847.1 Cutibacterium acnes strain ATCC 6919 16S ribosomal RNA, partial sequence
Bacteria	Actinobacteria	Actinomycetia	Propionibacteriales	Propionibacteriaceae	Microlunatus	Microlunatus flavus	txid1036181	NR_109320.1	NR_109320.1 Microlunatus flavus strain W6 16S ribosomal RNA, partial sequence
Bacteria	Actinobacteria	Actinomycetia	Propionibacteriales	Propionibacteriaceae	Microlunatus	Microlunatus ginsengisoli	txid363863	NR_041383.1	NR_041383.1 Microlunatus ginsengisoli strain Gsoil 633 16S ribosomal RNA, partial sequence
Bacteria	Actinobacteria	Actinomycetia	Propionibacteriales	Propionibacteriaceae	Propionibacterium	Propionibacterium freudenreichii	txid1752	NR_036972.1	NR_036972.1 Propionibacterium freudenreichii subsp. shermanii strain E11 16S ribosomal RNA gene, partial sequence
Bacteria	Actinobacteria	Actinomycetia	Pseudonocardiales	Pseudonocardiaceae	Actinomycetospora	Actinomycetospora chibensis	txid663606	NR_112966.1	NR_112966.1 Actinomycetospora chibensis strain TT04-21 16S ribosomal RNA, partial sequence
Bacteria	Actinobacteria	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces coelicolor	txid1902	NR_112305.1	NR_112305.1 Streptomyces coelicolor strain NBRC 12854 16S ribosomal RNA, partial sequence
Bacteria	Actinobacteria	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces diastaticus	txid1956	NR_041209.1	NR_041209.1 Streptomyces diastaticus strain NBRC 3714 16S ribosomal RNA gene, partial sequence
Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Atopobiaceae	Olsenella	Olsenella congonensis	txid1964384	NR_179615.1	NR_179615.1 Olsenella congonensis strain Marseille-P3359 16S ribosomal RNA, partial sequence
Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Atopobiaceae	Olsenella	Olsenella intestinalis	txid2930083	NR_181929.1	NR_181929.1 Olsenella intestinalis strain BGYT1 16S ribosomal RNA, partial sequence
Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Atopobiaceae	Olsenella	Olsenella lakotia	txid2584469	NR_180580.1	NR_180580.1 Olsenella lakotia strain SW165 16S ribosomal RNA, partial sequence
Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Atopobiaceae	Olsenella	Olsenella phocaeensis	txid1852385	NR_173693.1	NR_173693.1 Olsenella phocaeensis strain Marseille-P2936 16S ribosomal RNA, partial sequence
Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Atopobiaceae	Olsenella	Olsenella porci	txid2652279	NR_180810.1	NR_180810.1 Olsenella porci strain CA-Schmier-601-WT-1 16S ribosomal RNA, partial sequence
Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Atopobiaceae	Olsenella	Olsenella profusa	txid997349	NR_036821.1	NR_036821.1 Olsenella profusa DSM 13989 strain D315A-29 16S ribosomal RNA, partial sequence
Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Atopobiaceae	Olsenella	Olsenella timonensis	txid1805478	NR_179506.1	NR_179506.1 Olsenella timonensis strain Marseille-P2300 16S ribosomal RNA, partial sequence
Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Atopobiaceae	Olsenella	Olsenella uli	txid633147	NR_036820.1	NR_036820.1 Olsenella uli DSM 7084 strain ATCC 49627 16S ribosomal RNA, partial sequence
Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Atopobiaceae	Parafannyhessea	Parafannyhessea umbonata	txid604330	NR_116936.1	NR_116936.1 Parafannyhessea umbonata strain lac31 16S ribosomal RNA, partial sequence
Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Atopobiaceae	Parolsenella	Parolsenella catena	txid2003188	NR_163613.1	NR_163613.1 Parolsenella catena strain 2CBEGH3 16S ribosomal RNA, partial sequence
Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Atopobiaceae	Parolsenella	Parolsenella massiliensis	txid1871022	NR_156812.1	NR_156812.1 Parolsenella massiliensis strain Marseille-P3237 16S ribosomal RNA, partial sequence
Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Atopobiaceae	Thermophilibacter	Thermophilibacter gallinarum	txid2779357	NR_180618.1	NR_180618.1 Thermophilibacter gallinarum strain Cla-CZ-62 16S ribosomal RNA, partial sequence
Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Atopobiaceae	Thermophilibacter	Thermophilibacter immobilis	txid2779519	NR_181210.1	NR_181210.1 Thermophilibacter immobilis strain LZLJ-2 16S ribosomal RNA, partial sequence
Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Atopobiaceae	Thermophilibacter	Thermophilibacter mediterraneus	txid1871031	NR_173691.1	NR_173691.1 Thermophilibacter mediterraneus strain Marseille-P3256 16S ribosomal RNA, partial sequence
Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Atopobiaceae	Tractidigestivibacter	Tractidigestivibacter scatoligenes	txid1299998	NR_134781.1	NR_134781.1 Tractidigestivibacter scatoligenes strain SK9K4 16S ribosomal RNA, partial sequence
Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella avium	txid2603815	NR_180644.1	NR_180644.1 Collinsella avium strain SW219 16S ribosomal RNA, partial sequence
Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella bouchesdurhonensis	txid1907654	NR_147379.1	NR_147379.1 Collinsella bouchesdurhonensis strain Marseille-P3296 16S ribosomal RNA, partial sequence
Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella ihumii	txid1720204	NR_179431.1	NR_179431.1 Collinsella ihumii strain GD8 16S ribosomal RNA, partial sequence
Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella intestinalis	txid147207	NR_113165.1	NR_113165.1 Collinsella intestinalis strain JCM 10643 16S ribosomal RNA, partial sequence
Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella phocaeensis	txid1871016	NR_147399.1	NR_147399.1 Collinsella phocaeensis strain Marseille-P3245 16S ribosomal RNA, partial sequence
Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella provencensis	txid1937461	NR_179599.1	NR_179599.1 Collinsella provencensis strain Marseille-P3740 16S ribosomal RNA, partial sequence
Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella stercoris	txid147206	NR_113164.1	NR_113164.1 Collinsella stercoris strain JCM 10641 16S ribosomal RNA, partial sequence
Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella tanakaei	txid742742	NR_113273.1	NR_113273.1 Collinsella tanakaei YIT 12063 strain JCM 16071 16S ribosomal RNA, partial sequence
Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella vaginalis	txid1870987	NR_179545.1	NR_179545.1 Collinsella vaginalis strain Marseille-P2666 16S ribosomal RNA, partial sequence
Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Coriobacterium	Coriobacterium glomerans	txid33871	NR_074391.1	NR_074391.1 Coriobacterium glomerans strain PW2 16S ribosomal RNA, partial sequence
Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Enorma	Collinsella massiliensis	txid1232426	NR_144579.1	NR_144579.1 [Collinsella] massiliensis strain GD3 16S ribosomal RNA, partial sequence
Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Enorma	Enorma burkinafasonensis	txid2590867	NR_179460.1	NR_179460.1 Enorma burkinafasonensis strain Marseille-P9525 16S ribosomal RNA, partial sequence
Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Enorma	Enorma phocaeensis	txid1871019	NR_147403.1	NR_147403.1 Enorma phocaeensis strain Marseille-P3242 16S ribosomal RNA, partial sequence
Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Parvibacter	Parvibacter caecicola	txid747645	NR_117374.1	NR_117374.1 Parvibacter caecicola strain NR06 16S ribosomal RNA, partial sequence
Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Senegalimassilia	Senegalimassilia anaerobia	txid1034345	NR_125595.1	NR_125595.1 Senegalimassilia anaerobia JC110 16S ribosomal RNA, partial sequence
Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Adlercreutzia	Adlercreutzia hattorii	txid2707299	NR_179369.1	NR_179369.1 Adlercreutzia hattorii strain 8CFCBH1 16S ribosomal RNA, partial sequence
Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Eggerthella	Eggerthella guodeyinii	txid2690837	NR_180698.1	NR_180698.1 Eggerthella guodeyinii strain HF-1101 16S ribosomal RNA, partial sequence
Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Eggerthella	Eggerthella lenta	txid84112	NR_074377.1	NR_074377.1 Eggerthella lenta strain DSM 2243 16S ribosomal RNA, partial sequence
