Week,Date,Period,Fecal Score for Culi,Notes,FS,
14,1/25/24,Steroid + Probiotic + Oatmeal Gel,"5, 6 ",,5.5,
14,1/26/24,Steroid + Probiotic + Oatmeal Gel,5,,5.0,
14,1/27/24,Steroid + Probiotic + Oatmeal Gel,6,,6.0,
14,1/28/24,Steroid + Probiotic + Oatmeal Gel,2,,2.0,
14,1/29/24,Steroid + Probiotic + Oatmeal Gel,2,,2.0,
14,1/30/24,Steroid + Probiotic + Oatmeal Gel,2,,2.0,
14,1/31/24,Steroid + Probiotic + Oatmeal Gel,2,,2.0,
15,2/1/24,Steroid + Probiotic + Oatmeal Gel,3,,3.0,
15,2/2/24,Steroid + Probiotic + Oatmeal Gel,2,,2.0,
15,2/3/24,Steroid + Probiotic + Oatmeal Gel,2,,2.0,
15,2/4/24,Steroid + Probiotic + Oatmeal Gel,2,,2.0,
15,2/5/24,Steroid + Probiotic + Oatmeal Gel,2,,2.0,
15,2/6/24,Steroid + Probiotic + Oatmeal Gel,2,,2.0,
15,2/7/24,Steroid + Probiotic + Oatmeal Gel,3,,3.0,
16,2/8/24,Steroid + Probiotic + Oatmeal Gel,"3, 6",,4.5,
16,2/9/24,Steroid + Probiotic + Oatmeal Gel,2,,2.0,
16,2/10/24,Steroid + Probiotic + Oatmeal Gel,6,left biscuit and some gum,6.0,
16,2/11/24,Steroid + Probiotic + Oatmeal Gel,2,,2.0,
16,2/12/24,Steroid + Probiotic + Oatmeal Gel,2,,2.0,
16,2/13/24,Steroid + Probiotic + Oatmeal Gel,2,,2.0,
16,2/14/24,Steroid + Probiotic + Oatmeal Gel,"3, 6",,4.5,
17,2/15/24,,2,,2.0,
17,2/16/24,,3,,3.0,
17,2/17/24,,2,,2.0,
17,2/18/24,,2,,2.0,
17,2/19/24,,2,6 out of 10 drops of probiotic given,2.0,
17,2/20/24,,2,"no probiotic - out, removed tomato from diet ",2.0,
17,2/21/24,,3,,3.0,
18,2/22/24,,3,,3.0,
18,2/23/24,,2,started probiotic again ,2.0,
18,2/24/24,,2,,2.0,
18,2/25/24,,2,,2.0,
18,2/26/24,,2,,2.0,
18,2/27/24,,2,,2.0,
18,2/28/24,,2,Culi moved to new holding space ,2.0,
18,2/29/24,,2,,2.0,
18,3/1/24,,2,,2.0,
18,3/2/24,,2,,2.0,
18,3/3/24,,"2, 6",,4.0,
18,3/4/24,,6,,6.0,
,3/5/24,,"2,3",,5,
,3/6/24,,"2,3,5",,3,
,3/7/24,,3,,4,
,3/8/24,,"3,6",,4.5,
,3/9/24,,"3,6",,4,
,3/10/24,,"3,6",,4.5,
,3/11/24,,"3,5",,4,
,3/12/24,,3,,1,
,3/13/24,,"4,6",,4.67,
,3/14/24,,3,,5.5,
,3/15/24,,"3,6",,4.5,
,3/16/24,,"5,6",,3,
,3/17/24,,3,,5,
,3/18/24,,"3,5",,1,
,3/19/24,,5,,1,
,3/20/24,,5,,1,
,3/21/24,,"3,5",Culi whistling and actively attempting to get to Warble,4,
,3/22/24,,"5,6",,1,
,3/23/24,,"5,6",,3.5,
,3/24/24,,"3,6",,4,
,3/25/24,,5,,.,
,3/26/24,,3,,1,
,3/27/24,,"3,6",,5,
,3/28/24,,"2,3",,6,
,3/29/24,,3,,5,
,3/30/24,,3,,4.5,
,3/31/24,,"4,6",,5,
,4/1/24,,"3,6",Warble starting to cycle,5,
,4/2/24,,3,Given access to Warble and all 6 holdings,3.5,
,4/3/24,,"3,6",,5,
,4/4/24,,"3,6",Observed several breeding events,6,
,4/5/24,,"3,4",,1,
,4/6/24,,"3,4",,3,
,4/7/24,,"3,6",,4,
,4/8/24,,"3,6",,6,
,4/9/24,,"3,6",,4.5,
,4/10/24,,"3,6",,5.5,
,4/11/24,,"3,6",,4.5,
,4/12/24,,"3,4",,4.5,
,4/13/24,,"3,4",,3,
,4/14/24,,"3,6",Weight of Culi: 451 grams,5,
,4/15/24,,,,4.5,
,4/16/24,,"3,4",,4.5,
,4/17/24,,"3,6",,,
,4/18/24,,6,,,
,4/19/24,,"3,6",,,
,4/20/24,,"3,6",,,
,4/21/24,,6,,,
,4/22/24,,"3,6",,,
,4/23/24,,,,,
,4/24/24,,,,,
,4/25/24,,"3,6",,,
,4/26/24,,"3,6",,,
,4/27/24,,"3,4",,,
,4/28/24,,6,,,
,4/29/24,,"4,6",,,
,4/30/24,,"3,5",,,
,5/1/24,,,,,
,5/2/24,,6,,,
,5/3/24,,"5,6",,,
,5/4/24,,"4,6",,,
,5/5/24,,6,,,
,5/6/24,,6,,,
,5/7/24,,,,,
,5/8/24,,"3,6",,,
,5/9/24,,"3,6",,,
,5/10/24,,4,,,
,5/11/24,,6,,,
,5/12/24,,6,,,
,5/13/24,,"3,5",,,
,5/14/24,,"3,5",,,
,5/15/24,,,,,
,5/16/24,,6,,,
,5/17/24,,"3,6",,,
,5/18/24,,,,,
,5/19/24,,"3,6",,,
,5/20/24,,"3,4,6",,,
,5/21/24,,"3,6",,,
,5/22/24,,3,,,
,5/23/24,,"3,6",,,
,5/24/24,,"3,4",,,
,5/25/24,,"3,4",,,
,5/26/24,,"3,6",,,
,5/27/24,,"3,5",,,
,5/28/24,,"3,6",,,
Revert to OG diet to start trial 2,5/29/24,,3,,3,
Revert to OG diet to start trial 3,5/30/24,,0,,0,
Revert to OG diet to start trial 4,5/31/24,,"3,6",,4.5,
Revert to OG diet to start trial 5,6/1/24,,"3,4",,3.5,
Revert to OG diet to start trial 6,6/2/24,,,,.,
Revert to OG diet to start trial 7,6/3/24,,"4,6",,5,
Revert to OG diet to start trial 8,6/4/24,,"5,6",,5.5,
Revert to OG diet to start trial 9,6/5/24,,,,.,
Revert to OG diet to start trial 10,6/6/24,,,,.,
Revert to OG diet to start trial 11,6/7/24,,"2,3",,2.5,
Revert to OG diet to start trial 12,6/8/24,,4,,4,
Revert to OG diet to start trial 13,6/9/24,,4,,4,
Revert to OG diet to start trial 14,6/10/24,,"1,6",,3.5,
Revert to OG diet to start trial 15,6/11/24,,4,,4,
Revert to OG diet to start trial 16,6/12/24,,"3,6",,4.5,
Revert to OG diet to start trial 17,6/13/24,,"2,3",,2.5,
Revert to OG diet to start trial 18,6/14/24,,,,.,
Biscuit Elimination,6/15/24,,"2,6",,4,
Biscuit Elimination,6/16/24,,"2,6",,4,
Biscuit Elimination,6/17/24,,"3,5",5 had food pieces present,4,
Biscuit Elimination,6/18/24,,"3,4",,3.5,
Biscuit Elimination,6/19/24,,"3,6",,4.5,
Biscuit Elimination,6/20/24,,6,,6,
Biscuit Elimination,6/21/24,,"3,6",,4.5,
Biscuit Elimination,6/22/24,,6,,6,
Biscuit Elimination,6/23/24,,6,,6,
Biscuit Elimination,6/24/24,,"5,6",,5.5,
Biscuit Elimination,6/25/24,,"3,5",,4,
Biscuit Elimination,6/26/24,,"3,6",,4.5,
Biscuit Elimination,6/27/24,,"2,3",,2.5,
Biscuit Elimination,6/28/24,,4,,4,
"Less egg, more bug",6/29/24,,6,,6,
"Less egg, more bug",6/30/24,,"3,6",,4.5,
"Less egg, more bug",7/1/24,,"3,4",,3.5,
"Less egg, more bug",7/2/24,,"3,4",,3.5,
"Less egg, more bug",7/3/24,,,,.,
"Less egg, more bug",7/4/24,,1,,1,
"Less egg, more bug",7/5/24,,3,,3,
"Less egg, more bug",7/6/24,,3,,3,
"Less egg, more bug",7/7/24,,"3,6",,4.5,
"Less egg, more bug",7/8/24,,"4,6",,5,
"Less egg, more bug",7/9/24,,4,,4,
"Less egg, more bug",7/10/24,,"4,6",,5,
"Less egg, more bug",7/11/24,,0,,0.1,
"Less egg, more bug",7/12/24,,4,,4,
"Sweet potato, green bean, carrot, pumpkin",7/13/24,,"1,6",,3.5,
"Sweet potato, green bean, carrot, pumpkin",7/14/24,,"2,6",,4,
"Sweet potato, green bean, carrot, pumpkin",7/15/24,,"3,6",,4.5,
"Sweet potato, green bean, carrot, pumpkin",7/16/24,,5,,5,
"Sweet potato, green bean, carrot, pumpkin",7/17/24,,"3,6",,4.5,
"Sweet potato, green bean, carrot, pumpkin",7/18/24,,"3,6",,4.5,
"Sweet potato, green bean, carrot, pumpkin",7/19/24,,,,.,
"Sweet potato, green bean, carrot, pumpkin",7/20/24,,"3,6",,4.5,
"Sweet potato, green bean, carrot, pumpkin",7/21/24,,3,,3,
"Sweet potato, green bean, carrot, pumpkin",7/22/24,,"3,6",,4.5,
"Sweet potato, green bean, carrot, pumpkin",7/23/24,,,,.,
"Sweet potato, green bean, carrot, pumpkin",7/24/24,,,,.,
"Sweet potato, green bean, carrot, pumpkin",7/25/24,,"1,6",,3.5,
"Sweet potato, green bean, carrot, pumpkin",7/26/24,,"1,6",,3.5,
Metamucil,7/27/24,,"5,6",,5.5,
Metamucil,7/28/24,,,,.,
Metamucil,7/29/24,,6,,6,
Metamucil,7/30/24,,"5,6",,5.5,
Metamucil,7/31/24,,"3,4",,3.5,
Metamucil,8/1/24,,"2,3,6",,3.67,
Metamucil,8/2/24,,,,.,
Metamucil,8/3/24,,,,.,
Metamucil,8/4/24,,"3,6",,4.5,
Metamucil,8/5/24,,,,.,
Metamucil,8/6/24,,"3,4",,3.5,
Metamucil,8/7/24,,"3,4",,3.5,
Metamucil,8/8/24,,"3,6",extremely liquid feces ,4.5,
Metamucil,8/9/24,,6,,6,
Oatmeal gel,8/10/24,,"3,4",,3.5,
Oatmeal gel,8/11/24,,4,,4,
Oatmeal gel,8/12/24,,"5,6",,5.5,
Oatmeal gel,8/13/24,,"5,6",,5.5,
Oatmeal gel,8/14/24,,"3,4",,3.5,
Oatmeal gel,8/15/24,,"3,6",,4.5,
Oatmeal gel,8/16/24,,"4,5",,4.5,
Oatmeal gel,8/17/24,,"3,4",,3.5,
Oatmeal gel,8/18/24,,"2,6",,4,
Oatmeal gel,8/19/24,,"1,5",1 was questionable if it came from Culi,3,
Oatmeal gel,8/20/24,,6,,6,
Oatmeal gel,8/21/24,,,,.,
Oatmeal gel,8/22/24,,"2,3,6",,3.67,
Oatmeal gel,8/23/24,,"3,5",,4,
Probiotic,8/24/24,,"3,6",,4.5,
Probiotic,8/25/24,,"5,6",,5.5,
Probiotic,8/26/24,,,,.,
Probiotic,8/27/24,,4,,4,
Probiotic,8/28/24,,"3,5",,3.5,
Probiotic,8/29/24,,"4,5",,4.5,
Probiotic,8/30/24,,"3,4,5",,4,
Probiotic,8/31/24,,"3,4",,3.5,
Probiotic,9/1/24,,"5,6",,5.5,
Probiotic,9/2/24,,5,,5,
Probiotic,9/3/24,,"3,5",,4,
Probiotic,9/4/24,,"3,4",,3.5,
Probiotic,9/5/24,,6,,6,
Probiotic,9/6/24,,"3,4",,3.5,
Anti-Diarrheal,9/7/24,,,,.,
Anti-Diarrheal,9/8/24,,"3,6",extremely liquid feces ,4.5,
Anti-Diarrheal,9/9/24,,,,.,
Anti-Diarrheal,9/10/24,,,,.,
Anti-Diarrheal,9/11/24,,"3,6",,4.5,
Anti-Diarrheal,9/12/24,,3,,3,
Anti-Diarrheal,9/13/24,,"3,6",,4.5,
Anti-Diarrheal,9/14/24,,,,.,
Anti-Diarrheal,9/15/24,,3,majority in latrine tube,3,
Anti-Diarrheal,9/16/24,,"2,6",,4,
Anti-Diarrheal,9/17/24,,,,.,
Anti-Diarrheal,9/18/24,,3,,3,
Anti-Diarrheal,9/19/24,,"4,6",,5,
Anti-Diarrheal,9/20/24,,"3,4",,3.5,
Low Lectin,9/21/24,,3,,3,
Low Lectin,9/22/24,,"3,6",,4.5,
Low Lectin,9/23/24,,"3,4",majority in latrine tube ,3.5,
Low Lectin,9/24/24,,"3,4",in latrine tube,3.5,
Low Lectin,9/25/24,,3,,3,
Low Lectin,9/26/24,,5,,5,
Low Lectin,9/27/24,,"3,4",,3.5,
Low Lectin,9/28/24,,"3,4",,3.5,
Low Lectin,9/29/24,,"2,4",,3,
Low Lectin,9/30/24,,"3,6",,4.5,
Low Lectin,10/1/24,,,,.,
Low Lectin,10/2/24,,"4,6",,5,
Low Lectin,10/3/24,,6,,6,
Low Lectin,10/4/24,,"4,5",,4.5,
Low Lectin,10/5/24,,"4,5",,4.5,
Low Lectin,10/6/24,,6,,6,
Low Lectin,10/7/24,,"4,6",6 in a sleeping spot,5,
Low Lectin,10/8/24,,,,.,
Low Lectin,10/9/24,,,,.,
Low Lectin,10/10/24,,,,.,
Low Lectin,10/11/24,,"3,4",,3.5,
Low Lectin,10/12/24,,"4,5",,4.5,
Low Lectin,10/13/24,,"3,4",,3.5,
Low Lectin,10/14/24,,6,,6,
Low Lectin,10/15/24,,,,.,
Low Lectin,10/16/24,,4,,4,
Low Lectin,10/17/24,,,,.,
Low Lectin,10/18/24,,4,,4,
Steroid High Dose,10/19/24,,4,,4,
Steroid High Dose,10/20/24,,"5,6",,5.5,
Steroid High Dose,10/21/24,,"4,6",,5,
Steroid High Dose,10/22/24,,4,,4,
Steroid High Dose,10/23/24,,"4,5",in latrine tubes ,4.5,
Steroid High Dose,10/24/24,,6,,6,
Steroid High Dose,10/25/24,,6,,6,
Steroid High Dose,10/26/24,,,,.,
Steroid High Dose,10/27/24,,"4,6",,5,
Steroid High Dose,10/28/24,,"4,6",,5,
Steroid High Dose,10/29/24,,5,,5,
Steroid High Dose,10/30/24,,3,,3,
Steroid High Dose,10/31/24,,6,,6,
Steroid High Dose,11/1/24,,"4,5",,4.5,
Steroid High Dose,11/2/24,,"5,6",,5.5,
Steroid High Dose,11/3/24,,"3,6",,4.5,
Steroid High Dose,11/4/24,,"3,6",,4.5,
Steroid High Dose,11/5/24,,4,,4,
Steroid High Dose,11/6/24,,4,,4,
Steroid High Dose,11/7/24,,,,.,
Steroid High Dose,11/8/24,,,,.,
Steroid High Dose,11/9/24,,,,.,
Steroid High Dose,11/10/24,,"4,6",,5,
Steroid High Dose,11/11/24,,3,,3,
Steroid High Dose,11/12/24,,3,,3,
Steroid High Dose,11/13/24,,3,,3,
Steroid High Dose,11/14/24,,"3,5",,4,
Steroid High Dose,11/15/24,,3,,3,
Steroid Low Dose,11/16/24,,3,,3,
Steroid Low Dose,11/17/24,,6,,6,
Steroid Low Dose,11/18/24,,3,,3,
Steroid Low Dose,11/19/24,,3,,3,
Steroid Low Dose,11/20/24,,"3,4,5",,4,
Steroid Low Dose,11/21/24,,6,,6,
Steroid Low Dose,11/22/24,,"2,3",,2.5,
Steroid Low Dose,11/23/24,,3,,3,
Steroid Low Dose,11/24/24,,"3,6",,4.5,
Steroid Low Dose,11/25/24,,"3,6",,4.5,
Steroid Low Dose,11/26/24,,"3,6",,4.5,
Steroid Low Dose,11/27/24,,"3,6",,4.5,
Steroid Low Dose,11/28/24,,,,.,
Steroid Low Dose,11/29/24,,0,,0.1,
Steroid Low Dose,11/30/24,,3,,3,
Steroid Low Dose,12/1/24,,6,,6,
Steroid Low Dose,12/2/24,,"4,6",most in latrine tubes ,5,
Steroid Low Dose,12/3/24,,,,.,
Steroid Low Dose,12/4/24,,3,,3,
Steroid Low Dose,12/5/24,,"3,6",,4.5,
Steroid Low Dose,12/6/24,,3,,3,
Steroid Low Dose,12/7/24,,3,,3,
Steroid Low Dose,12/8/24,,"3,6",,4.5,
Steroid Low Dose,12/9/24,,"4,6",,5,
Steroid Low Dose,12/10/24,,"3,6",,4.5,
Steroid Low Dose,12/11/24,,"3,6",,4.5,
Steroid Low Dose,12/12/24,,,,.,
Steroid Low Dose,12/13/24,,"3,6",,4.5,
Steroid Low Dose,12/14/24,,3,,3,
Steroid Low Dose,12/15/24,,6,,6,
Steroid Low Dose,12/16/24,,"5,6",,5.5,
Steroid Low Dose,12/17/24,,5,,5,
Steroid Low Dose,12/18/24,,3,,3,
Steroid Low Dose,12/19/24,,6,,6,
Steroid Low Dose,12/20/24,,"3,4",,3.5,
Steroid Low Dose,12/21/24,,"3,6",,4.5,
Steroid Low Dose,12/22/24,,"3,4",,3.5,
Steroid Low Dose,12/23/24,,4,,4,
Steroid Low Dose,12/24/24,,,,.,
Steroid Low Dose,12/25/24,,3,,3,
Steroid Low Dose,12/26/24,,,,.,
Steroid Low Dose,12/27/24,,,,.,
Nothing,12/28/24,,4,,4,
Nothing,12/29/24,,3,,3,
Nothing,12/30/24,,"3,6",,4.5,
Nothing,12/31/24,,"3,5",,3.5,
Nothing,1/1/25,,3,,3,
Nothing,1/2/25,,"2,3",,2.5,
